row_idx,text,pred_label,max_prob
0,METHOD=GET PATH=/tienda1/publico/anadir.jsp QUERY=id=2&nombre=Jam%F3n+Ib%E9rico&precio=85&cantidad=%27%3B+DROP+TABLE+usuarios%3B+SELECT+*+FROM+datos+WHERE+nombre+LIKE+%27%25&B1=A%F1adir+al+carrito PROTOCOL=HTTP/1.1,benign,0.7369394302368164
1,METHOD=POST PATH=/tienda1/publico/anadir.jsp QUERY= PROTOCOL=HTTP/1.1,benign,0.41286852955818176
2,METHOD=GET PATH=/tienda1/publico/anadir.jsp QUERY=id=2%2F&nombre=Jam%F3n+Ib%E9rico&precio=85&cantidad=49&B1=A%F1adir+al+carrito PROTOCOL=HTTP/1.1,benign,0.6931248307228088
3,METHOD=POST PATH=/tienda1/publico/anadir.jsp QUERY= PROTOCOL=HTTP/1.1,benign,0.41286852955818176
4,METHOD=GET PATH=/asf-logo-wide.gif~ QUERY= PROTOCOL=HTTP/1.1,suspicious_path_probe,0.46971777081489563
5,METHOD=GET PATH=/tienda1/publico/autenticar.jsp QUERY=modo=entrar&login=bob%40%3CSCRipt%3Ealert%28Paros%29%3C%2FscrIPT%3E.parosproxy.org&pwd=84m3ri156&remember=on&B1=Entrar PROTOCOL=HTTP/1.1,benign,0.8396302461624146
6,METHOD=POST PATH=/tienda1/publico/autenticar.jsp QUERY= PROTOCOL=HTTP/1.1,benign,0.4538836181163788
7,METHOD=GET PATH=/tienda1/publico/autenticar.jsp QUERY=modo=entrar&login=grimshaw&pwd=G%2F%2FlAc%2CIAr&remember=on&B1=Entrar PROTOCOL=HTTP/1.1,benign,0.8054977059364319
8,METHOD=POST PATH=/tienda1/publico/autenticar.jsp QUERY= PROTOCOL=HTTP/1.1,benign,0.4538836181163788
9,METHOD=GET PATH=/tienda1/publico/autenticar.jsp QUERY=modo=entrar&login=grimshaw&pwd=84m3ri156&rememberA=on&B1=Entrar PROTOCOL=HTTP/1.1,benign,0.832689642906189
10,METHOD=POST PATH=/tienda1/publico/autenticar.jsp QUERY= PROTOCOL=HTTP/1.1,benign,0.4538836181163788
