row_idx,true_id,true_label,pred_id,pred_label,max_prob,embedding,is_correct,dist_to_pred_centroid,nearest_centroid_id,nearest_centroid_dist
0,2,suspicious_path_probe,2,suspicious_path_probe,0.8651891946792603,"[0.0, 0.5411795377731323, 0.0, 0.0, 0.0, 1.9882177114486694, 0.0, 1.818332552909851, 1.2897839546203613, 0.0, 0.0, 1.9569597244262695, 1.3173089027404785, 1.728438377380371, 0.0, 0.9144795536994934, 0.0, 0.7867881059646606, 0.7479876279830933, 0.11480625718832016, 0.0, 2.2707488536834717, 1.2804296016693115, 0.0, 2.2732229232788086, 1.1234781742095947, 0.0, 0.6053882837295532, 0.11056812107563019, 0.3960462212562561, 1.57468581199646, 1.635941505432129, 1.8636771440505981, 0.0, 1.7214295864105225, 0.0, 0.7359714508056641, 0.0, 0.806991457939148, 2.9367997646331787, 0.6334318518638611, 0.8086508512496948, 1.9609076976776123, 0.0, 0.0, 0.0, 0.689196765422821, 1.1432746648788452, 0.5308530330657959, 0.0, 1.819956660270691, 0.1727861762046814, 0.0, 0.5150310397148132, 0.8288615345954895, 1.498091697692871, 0.0, 0.0, 1.4375637769699097, 0.35555213689804077, 1.1389769315719604, 1.3632426261901855, 2.177013635635376, 2.941227674484253, 0.0, 1.106911063194275, 0.7230015993118286, 1.6076078414916992, 0.0, 0.45418012142181396, 0.5399030447006226, 2.250927686691284, 1.8803048133850098, 2.396651268005371, 0.37721776962280273, 0.0, 1.7771862745285034, 2.55207896232605, 0.0, 0.0, 0.0, 0.0, 1.037138819694519, 0.25050708651542664, 0.0, 0.0, 1.059622049331665, 0.0, 0.0, 1.6509701013565063, 0.8564714789390564, 2.6780638694763184, 0.0, 0.0, 0.0, 2.8150320053100586, 2.8246028423309326, 1.0676108598709106, 2.2077620029449463, 1.9975616931915283, 0.0, 0.0, 1.214492678642273, 2.657200813293457, 1.899714469909668, 0.0, 1.9515975713729858, 1.4276747703552246, 2.5181288719177246, 2.665855646133423, 0.0, 3.046135425567627, 1.076523780822754, 1.746917724609375, 1.6070302724838257, 2.058706283569336, 0.0, 1.4569828510284424, 1.002170205116272, 0.0, 1.2114288806915283, 1.30905020236969, 0.7239737510681152, 2.7036056518554688, 1.6325464248657227, 0.0, 0.38327544927597046, 1.6915618181228638]",1,7.6897735595703125,2,7.6897735595703125
1,0,benign,0,benign,0.9970210194587708,"[0.8293410539627075, 0.9470537900924683, 1.9313557147979736, 0.0, 0.0, 2.179866313934326, 0.0, 1.8531978130340576, 0.13147252798080444, 0.4199841022491455, 0.0, 1.9394340515136719, 1.2010217905044556, 1.4130666255950928, 0.0, 1.4622275829315186, 0.0, 0.07117091119289398, 3.1906814575195312, 2.3496830463409424, 0.0, 0.4285424053668976, 2.005915641784668, 0.0, 1.004576563835144, 0.18110018968582153, 0.0, 2.683332681655884, 0.4007628560066223, 0.9054377675056458, 2.7206172943115234, 2.516205310821533, 2.062464714050293, 1.202215313911438, 1.0727838277816772, 0.0, 1.4748930931091309, 0.0, 3.0486786365509033, 0.9224658608436584, 0.0, 3.5243074893951416, 3.0533902645111084, 0.0, 0.0, 0.0, 0.0, 1.3662936687469482, 3.4589009284973145, 0.0, 2.149439811706543, 2.503983974456787, 0.0, 2.9036245346069336, 1.733833909034729, 3.403770685195923, 0.0, 0.0, 1.6083823442459106, 1.547102928161621, 3.494611978530884, 0.14335031807422638, 3.176974296569824, 1.407537579536438, 0.0, 2.0019400119781494, 0.5450178384780884, 0.790679395198822, 0.0, 1.5710382461547852, 3.509589672088623, 0.8609448075294495, 2.7229480743408203, 4.671494483947754, 2.0282297134399414, 0.0, 0.5402015447616577, 0.523573637008667, 0.0, 0.0, 0.0, 2.0409979820251465, 4.394287586212158, 0.0, 0.0, 0.0, 1.3847333192825317, 0.0, 0.0, 4.05938720703125, 1.042359709739685, 0.7849545478820801, 0.0, 0.0, 0.0, 2.9448864459991455, 0.3537593483924866, 3.2984459400177, 4.118417263031006, 0.8469385504722595, 0.0, 0.0, 1.853097677230835, 0.30506420135498047, 0.3266929090023041, 0.0, 2.992274761199951, 2.365208387374878, 1.4029872417449951, 1.298269510269165, 0.0, 1.420516848564148, 2.609029531478882, 0.9943422675132751, 0.9687812328338623, 0.6971333026885986, 0.0, 3.0090115070343018, 1.9025697708129883, 0.0, 3.665034055709839, 1.3973617553710938, 3.3404910564422607, 1.2636864185333252, 3.2617952823638916, 0.0, 0.0, 1.1614794731140137]",1,4.50797176361084,0,4.50797176361084
2,0,benign,0,benign,0.9971933960914612,"[0.8647238612174988, 0.8660129308700562, 1.8205766677856445, 0.0, 0.0, 2.021186113357544, 0.0, 1.824374794960022, 0.11004151403903961, 0.4535789489746094, 0.0, 1.9626522064208984, 1.271139144897461, 1.6029722690582275, 0.0, 1.514955997467041, 0.0, 0.022774480283260345, 3.131817102432251, 2.304795265197754, 0.0, 0.5262976288795471, 2.004322052001953, 0.0, 1.120100975036621, 0.20195133984088898, 0.0, 2.756314754486084, 0.6228713393211365, 0.8850363492965698, 2.6199419498443604, 2.5068423748016357, 1.8719923496246338, 1.036115050315857, 1.2078527212142944, 0.0, 1.5245208740234375, 0.0, 3.1196463108062744, 0.9799821972846985, 0.0, 3.3372678756713867, 3.0671019554138184, 0.0, 0.0, 0.0, 0.0, 1.5088917016983032, 3.6109936237335205, 0.0, 2.0410263538360596, 2.538001298904419, 0.0, 2.9335453510284424, 1.6878279447555542, 3.517139434814453, 0.0, 0.0, 1.4864110946655273, 1.6099605560302734, 3.639986038208008, 0.06643948704004288, 3.2197155952453613, 1.3536261320114136, 0.0, 1.9864476919174194, 0.6407533884048462, 0.8043853640556335, 0.0, 1.6870334148406982, 3.5756306648254395, 0.7124869227409363, 2.796300172805786, 4.59696102142334, 2.1187453269958496, 0.0, 0.5225024819374084, 0.2318289577960968, 0.0, 0.0, 0.0, 1.9886221885681152, 4.470946788787842, 0.0, 0.0, 0.0, 1.395243763923645, 0.0, 0.0, 3.9904747009277344, 0.9509804844856262, 0.807307779788971, 0.0, 0.0, 0.0, 2.922281503677368, 0.4618566632270813, 3.551036834716797, 3.928269624710083, 0.9506137371063232, 0.0, 0.0, 1.7959520816802979, 0.3602290451526642, 0.4643091857433319, 0.0, 2.938422441482544, 2.3484299182891846, 1.5035278797149658, 1.3499616384506226, 0.0, 1.3205534219741821, 2.5689728260040283, 0.9952109456062317, 1.0810521841049194, 0.670147180557251, 0.0, 2.8719241619110107, 2.022890329360962, 0.0, 3.8498423099517822, 1.2618016004562378, 3.4340758323669434, 1.3054965734481812, 3.162726402282715, 0.0, 0.0, 1.2582812309265137]",1,4.521478652954102,0,4.52147912979126
3,0,benign,0,benign,0.9731797575950623,"[0.0, 1.1358377933502197, 0.7612286806106567, 0.0, 0.0, 2.434845447540283, 0.0, 2.1155800819396973, 1.4375053644180298, 0.0, 0.0, 1.9081523418426514, 0.2982895076274872, 2.2513442039489746, 0.0, 0.7508376836776733, 0.0, 0.0, 1.9003573656082153, 1.210127830505371, 0.0, 0.41283974051475525, 2.3416574001312256, 0.25668254494667053, 1.400223970413208, 0.5643899440765381, 0.0, 3.339160919189453, 0.0, 1.5707833766937256, 1.191653847694397, 2.1665444374084473, 2.442349910736084, 0.2770934998989105, 1.2296353578567505, 0.0, 0.5456444025039673, 0.0, 2.298203468322754, 0.7984434962272644, 0.0, 1.8935856819152832, 2.0739355087280273, 0.32214680314064026, 0.0, 0.0, 0.0, 2.1665425300598145, 2.5059022903442383, 0.0, 1.8003793954849243, 1.5006054639816284, 0.0, 2.446007490158081, 0.9252434372901917, 3.2338716983795166, 0.0, 0.0, 0.11758916825056076, 1.8478769063949585, 2.1874442100524902, 0.0, 3.3033249378204346, 1.276769757270813, 0.0, 1.7297571897506714, 0.0, 0.13125260174274445, 0.0, 1.5715798139572144, 3.9953014850616455, 1.6469310522079468, 0.5190980434417725, 4.378195285797119, 2.6201517581939697, 0.0, 0.0, 0.3393329381942749, 0.0, 0.0, 0.0, 0.16267560422420502, 3.4305367469787598, 0.5124216675758362, 0.0, 0.0, 1.3363796472549438, 0.0, 0.0, 3.8302717208862305, 0.0, 1.167769432067871, 0.0, 0.0, 0.0, 2.5433075428009033, 1.680137276649475, 3.2355024814605713, 4.710865020751953, 1.7641245126724243, 0.0, 0.0, 2.3523144721984863, 0.8309262990951538, 0.0, 0.0, 2.5820860862731934, 1.488566517829895, 2.257719039916992, 0.823352038860321, 0.0, 1.0826618671417236, 4.868435382843018, 0.7237296104431152, 2.246699094772339, 0.4853968024253845, 0.0, 2.06359601020813, 1.176611065864563, 0.0, 3.1307334899902344, 0.0, 1.963762879371643, 0.0, 1.8195385932922363, 0.0, 0.0, 0.0]",1,4.043252468109131,0,4.043251991271973
4,0,benign,0,benign,0.9975384473800659,"[0.7234469056129456, 0.8228646516799927, 1.8743841648101807, 0.0, 0.0, 2.093592405319214, 0.0, 2.0258588790893555, 0.0, 0.41492536664009094, 0.0, 1.9714701175689697, 1.1803808212280273, 1.4713670015335083, 0.0, 1.4768874645233154, 0.0, 0.0, 3.1613996028900146, 2.3572843074798584, 0.0, 0.3928055465221405, 1.9019687175750732, 0.0, 1.1678749322891235, 0.054299961775541306, 0.0, 2.9127705097198486, 0.43179944157600403, 1.038114070892334, 2.9212989807128906, 2.547952651977539, 1.9011502265930176, 1.0928442478179932, 1.1773349046707153, 0.0, 1.5424448251724243, 0.0, 2.9503934383392334, 0.830188512802124, 0.0, 3.3884634971618652, 3.194824695587158, 0.0, 0.0, 0.0, 0.0, 1.2931897640228271, 3.6167943477630615, 0.0, 2.2469186782836914, 2.4473135471343994, 0.0, 2.920513868331909, 1.6995106935501099, 3.550179958343506, 0.0, 0.0, 1.7416002750396729, 1.4609791040420532, 3.2977805137634277, 0.03062267415225506, 3.186296224594116, 1.2908433675765991, 0.0, 2.1862118244171143, 0.5732873678207397, 0.7545716166496277, 0.0, 1.9388271570205688, 3.7719430923461914, 0.8715012669563293, 2.759185791015625, 4.8574442863464355, 2.212458372116089, 0.0, 0.6165140271186829, 0.4692193865776062, 0.0, 0.0, 0.0, 2.0856447219848633, 4.509873867034912, 0.0, 0.0, 0.0, 1.39484703540802, 0.0, 0.0, 4.202030658721924, 1.0551334619522095, 0.8124218583106995, 0.0, 0.0, 0.0, 3.1244940757751465, 0.4650145471096039, 3.618260145187378, 4.0662055015563965, 0.9174038171768188, 0.0, 0.0, 1.9331408739089966, 0.3409671485424042, 0.5185179710388184, 0.0, 3.0491995811462402, 2.1933786869049072, 1.4808528423309326, 1.3163809776306152, 0.0, 1.4756251573562622, 2.746117115020752, 0.912773072719574, 1.0639055967330933, 0.7679536938667297, 0.0, 2.9756674766540527, 1.9214123487472534, 0.0, 3.9029996395111084, 1.1219795942306519, 3.6092376708984375, 1.4718247652053833, 3.277653455734253, 0.0, 0.0, 1.2234245538711548]",1,4.719837665557861,0,4.7198381423950195
5,0,benign,0,benign,0.8846935629844666,"[0.0, 0.7930723428726196, 0.5191060900688171, 0.0, 0.0, 2.5782577991485596, 0.0, 2.0859310626983643, 1.5711100101470947, 0.0, 0.0, 1.9487190246582031, 0.6396440863609314, 2.5823895931243896, 0.0, 1.035435438156128, 0.0, 0.0, 1.711924433708191, 0.8219130635261536, 0.0, 0.9149800539016724, 2.3711307048797607, 0.19286774098873138, 1.560054898262024, 0.6575076580047607, 0.0, 2.127657413482666, 0.0, 1.1954176425933838, 1.1110111474990845, 2.466885566711426, 2.730299234390259, 0.40850600600242615, 1.1228580474853516, 0.0, 0.47298210859298706, 0.0, 2.239881992340088, 1.4292449951171875, 0.0, 1.581210732460022, 1.933479905128479, 0.09138675034046173, 0.0, 0.0, 0.0, 2.211113214492798, 2.4306037425994873, 0.0, 2.447108268737793, 1.1765506267547607, 0.0, 2.1008622646331787, 0.8119202852249146, 2.772442579269409, 0.0, 0.0, 0.608673095703125, 1.0324039459228516, 2.4972219467163086, 0.5754669308662415, 3.168764591217041, 1.9985753297805786, 0.0, 1.6672614812850952, 0.0, 0.21345575153827667, 0.0, 1.1648823022842407, 3.581580400466919, 2.000281810760498, 0.8646586537361145, 3.809744358062744, 1.5154331922531128, 0.0, 0.4749821722507477, 1.0593384504318237, 0.0, 0.0, 0.0, 0.29376810789108276, 3.2361512184143066, 0.33532005548477173, 0.0, 0.0, 1.720855474472046, 0.0, 0.0, 3.4883604049682617, 0.09039148688316345, 1.3986880779266357, 0.0, 0.0, 0.0, 2.543198823928833, 1.5535424947738647, 3.185821056365967, 4.367117404937744, 1.7277674674987793, 0.0, 0.0, 1.7816967964172363, 1.3112707138061523, 0.26531824469566345, 0.0, 2.4065823554992676, 2.178152322769165, 2.300130605697632, 1.3654208183288574, 0.0, 1.56220543384552, 3.686201572418213, 0.9944117665290833, 2.111786127090454, 0.46764278411865234, 0.0, 2.609367847442627, 0.639746904373169, 0.0, 2.5393707752227783, 0.06771551817655563, 1.8266531229019165, 0.45133107900619507, 1.8448189496994019, 0.0, 0.0, 0.0]",1,4.086826324462891,0,4.086826324462891
6,0,benign,0,benign,0.9704198241233826,"[0.0, 0.7158336639404297, 0.8730517029762268, 0.0, 0.0, 2.059232473373413, 0.0, 1.4694536924362183, 1.0714248418807983, 0.0, 0.0, 1.868562936782837, 0.251421183347702, 1.6697468757629395, 0.0, 0.6768771409988403, 0.0, 0.0, 2.2910475730895996, 0.6241135597229004, 0.0, 0.7519258260726929, 1.891530156135559, 0.0, 1.2326319217681885, 0.8513431549072266, 0.0, 3.375166416168213, 0.33918291330337524, 1.548008680343628, 1.4837872982025146, 2.01106333732605, 2.3330588340759277, 0.8196559548377991, 0.5399587750434875, 0.0, 0.6980013847351074, 0.0, 2.1642062664031982, 0.7962123155593872, 0.0, 1.3545860052108765, 2.1860642433166504, 0.9838910698890686, 0.0, 0.0, 0.8224862813949585, 1.7324312925338745, 1.6712181568145752, 0.0, 1.1295901536941528, 1.7152256965637207, 0.0, 2.1342556476593018, 0.7741684913635254, 2.5884032249450684, 0.0, 0.0, 0.828092098236084, 1.2921863794326782, 1.6692150831222534, 0.0, 1.9181751012802124, 1.0181148052215576, 0.0, 1.4191316366195679, 0.0, 0.7958194613456726, 0.0, 1.2222076654434204, 2.8634979724884033, 1.6983765363693237, 0.9989919066429138, 3.648125648498535, 2.5280613899230957, 0.0, 0.4221594035625458, 0.7385958433151245, 0.0, 0.0, 0.0, 0.3287084996700287, 3.0608415603637695, 0.0, 0.0, 0.0, 1.076980471611023, 0.0, 0.0, 3.5397379398345947, 0.0, 0.7283613085746765, 0.0, 0.0, 0.0, 1.6345257759094238, 1.602409839630127, 2.735323429107666, 3.9213216304779053, 0.6657103300094604, 0.0, 0.0, 2.456298589706421, 0.7562656402587891, 0.9876972436904907, 0.0, 2.1851396560668945, 0.8985942006111145, 1.8084696531295776, 0.7437728047370911, 0.0, 0.9009987711906433, 3.79535174369812, 0.6584587693214417, 1.6001594066619873, 0.2599019706249237, 0.0, 2.8387861251831055, 1.4849215745925903, 0.0, 3.2014658451080322, 0.8655037879943848, 2.30436110496521, 0.7522229552268982, 2.2582855224609375, 0.0, 0.0, 0.0428614467382431]",1,4.137840747833252,0,4.137840747833252
7,1,command_exec,1,command_exec,0.9791633486747742,"[0.0, 0.23446765542030334, 0.06847120821475983, 0.0, 0.0, 1.1324020624160767, 0.0, 1.3276854753494263, 0.06570148468017578, 0.0, 0.0, 3.3307137489318848, 2.1858508586883545, 1.079103946685791, 0.0, 1.2361607551574707, 0.0, 0.49798905849456787, 0.714057207107544, 0.24560248851776123, 0.0, 2.3880624771118164, 1.578658938407898, 0.0, 1.1815392971038818, 3.164731979370117, 0.0, 0.8660246729850769, 1.4455777406692505, 0.0, 2.8629353046417236, 1.3178702592849731, 0.29965004324913025, 0.10872060805559158, 1.6117894649505615, 0.0, 2.864006996154785, 0.0, 0.3944304585456848, 1.6172654628753662, 0.0, 2.290942907333374, 3.7213804721832275, 0.0, 0.0, 0.0, 2.84493350982666, 0.20142430067062378, 1.8628337383270264, 0.0, 1.4439603090286255, 1.4899921417236328, 0.0, 1.1704901456832886, 1.8089911937713623, 2.487314462661743, 0.0, 0.0, 3.239248037338257, 0.055641286075115204, 2.948965549468994, 1.4149088859558105, 0.9040630459785461, 3.1602516174316406, 0.0, 1.1588062047958374, 1.7512527704238892, 3.6003408432006836, 0.0, 1.512168288230896, 0.8452080488204956, 1.0995564460754395, 3.3792171478271484, 1.0761001110076904, 0.29265058040618896, 0.0, 4.071612358093262, 3.591230630874634, 0.0, 0.0, 0.0, 0.23112855851650238, 0.9162919521331787, 0.0, 0.0, 0.0, 0.44075465202331543, 0.0, 0.0, 1.8432421684265137, 1.9733349084854126, 2.3910067081451416, 0.0, 0.4598862826824188, 0.0, 2.4275689125061035, 0.9658558368682861, 0.706154465675354, 0.5853428244590759, 1.1401698589324951, 0.0, 0.0, 0.5778796672821045, 3.0580902099609375, 2.717933416366577, 0.0, 1.151904582977295, 2.8929078578948975, 1.4917426109313965, 3.300584077835083, 0.0, 3.6479079723358154, 0.6774796843528748, 1.7456417083740234, 0.2987043857574463, 2.779958486557007, 0.0, 0.48437705636024475, 0.3044048845767975, 0.0, 2.6477086544036865, 2.4988796710968018, 1.517367959022522, 4.247757434844971, 3.147980213165283, 0.0, 0.8372282981872559, 3.2805042266845703]",1,2.9593029022216797,1,2.9593029022216797
8,0,benign,0,benign,0.9962674975395203,"[0.990597665309906, 0.8126473426818848, 1.8924667835235596, 0.0, 0.0, 2.1036205291748047, 0.0, 1.8915976285934448, 0.1559085249900818, 0.5000878572463989, 0.0, 1.7465229034423828, 1.176401138305664, 1.517983317375183, 0.0, 1.4510191679000854, 0.0, 0.050280600786209106, 3.053007125854492, 2.5893619060516357, 0.0, 0.6947191953659058, 2.1508660316467285, 0.0, 1.2759779691696167, 0.06089788302779198, 0.0, 2.4741618633270264, 0.6086547374725342, 1.0377485752105713, 2.6388869285583496, 2.3734705448150635, 1.8683216571807861, 1.0046383142471313, 1.2450278997421265, 0.0, 1.403024435043335, 0.0, 3.1574316024780273, 1.1200354099273682, 0.0, 3.260892152786255, 3.0987677574157715, 0.0, 0.0, 0.0, 0.0, 1.4736847877502441, 3.616569757461548, 0.0, 2.2154345512390137, 2.5246191024780273, 0.0, 2.856274127960205, 1.6668223142623901, 3.3343422412872314, 0.0, 0.0, 1.6669621467590332, 1.6037019491195679, 3.4224700927734375, 0.17073169350624084, 3.2944157123565674, 1.2633256912231445, 0.0, 2.2090632915496826, 0.4591419994831085, 0.7626926898956299, 0.0, 1.6516711711883545, 3.4642910957336426, 0.9443101286888123, 2.75250244140625, 4.888328552246094, 2.1640141010284424, 0.0, 0.5388662815093994, 0.484333336353302, 0.0, 0.0, 0.0, 1.9126535654067993, 4.256995677947998, 0.0, 0.0, 0.0, 1.3603745698928833, 0.0, 0.0, 4.0353779792785645, 1.0282526016235352, 0.8113359808921814, 0.0, 0.0, 0.0, 2.991806745529175, 0.7053375840187073, 3.424590587615967, 4.042963981628418, 0.885250985622406, 0.0, 0.0, 1.7331945896148682, 0.4131246507167816, 0.5223418474197388, 0.0, 3.0522360801696777, 2.3273580074310303, 1.6673051118850708, 1.4591063261032104, 0.0, 1.5478652715682983, 2.7332699298858643, 1.0577847957611084, 1.177025556564331, 0.525145411491394, 0.0, 2.819963216781616, 2.1374335289001465, 0.0, 3.6012461185455322, 1.2692216634750366, 3.3383631706237793, 1.3380199670791626, 2.995527744293213, 0.0, 0.0, 0.990420937538147]",1,4.2843732833862305,0,4.2843732833862305
9,2,suspicious_path_probe,2,suspicious_path_probe,0.9644914269447327,"[0.0, 1.298431396484375, 0.4165812134742737, 0.0, 0.0, 3.039571762084961, 0.0, 2.8443973064422607, 2.5437674522399902, 0.0, 0.0, 0.6988467574119568, 0.6653136610984802, 3.0159130096435547, 0.0, 0.14256171882152557, 0.0, 0.10802309215068817, 0.7172571420669556, 0.19548159837722778, 0.0, 1.8963797092437744, 2.0109944343566895, 0.22121070325374603, 3.224266767501831, 0.18971942365169525, 0.0, 1.211171269416809, 0.0, 1.7100813388824463, 0.0, 2.133669853210449, 3.1052207946777344, 0.0, 2.114875316619873, 0.0, 0.15091592073440552, 0.0, 1.73405921459198, 2.7150604724884033, 0.7243040800094604, 1.1577568054199219, 0.7489827871322632, 0.0, 0.0, 0.0, 0.0, 2.0912113189697266, 1.2191060781478882, 0.0, 3.2403135299682617, 0.2522048354148865, 0.0, 1.454201340675354, 0.20053651928901672, 1.3386892080307007, 0.0, 0.0, 0.6344070434570312, 1.5482730865478516, 0.8774487376213074, 0.7869290709495544, 4.271083831787109, 2.1474344730377197, 0.0, 2.1616227626800537, 0.0, 0.0, 0.0, 0.3427901566028595, 2.0243356227874756, 3.218095064163208, 0.0, 3.611114501953125, 0.3028794229030609, 0.0, 0.0, 1.571481466293335, 0.0, 0.0, 0.0, 0.0, 1.7237536907196045, 0.9844748973846436, 0.0, 0.0, 2.4025330543518066, 0.0, 0.0, 2.1151926517486572, 0.0, 3.139622926712036, 0.0, 0.0, 0.0, 3.218278646469116, 3.489375114440918, 2.9274790287017822, 4.630930423736572, 3.3889005184173584, 0.0, 0.0, 1.9733178615570068, 2.009552240371704, 0.0, 0.0, 2.642376184463501, 1.0470056533813477, 3.554659605026245, 1.415935754776001, 0.0, 2.3862991333007812, 3.3697683811187744, 1.8741345405578613, 3.0728628635406494, 1.5874049663543701, 0.0, 2.443263053894043, 1.1521514654159546, 0.0, 1.0439163446426392, 0.0, 0.7925468683242798, 1.3314768075942993, 0.4745275676250458, 0.0, 0.10344402492046356, 0.0]",1,3.0948662757873535,2,3.0948665142059326
