run_id,record_id,source_type,rule_hit,rule_name,rule_severity,rule_reason,anomaly_score,anomaly_threshold,anomaly_model,anomaly_version,is_anomaly,anomaly_reason,is_unknown,osr_method,osr_reason,osr_pred_label,osr_final_label,osr_max_prob,osr_prob_threshold,osr_distance,osr_distance_threshold,osr_reject_reason,final_label,stage,confidence,risk_score,raw_text,llm_severity,llm_details,llm_cve,llm_owasp,llm_recommendation
apache_log_access.log_20260511_041056,apache_1,apache_log,0,,,no apache rule matched,0.15,0.68,webhawk_pca_dbscan,midterm-0.3,0,backend=webhawk_core; eps=0.1500; cluster=0; cluster_size=90; cluster_normal=1; heuristic=special_tokens=8,1,textcnn_osr_hardneg75,"{""pred_label"": ""benign"", ""final_label"": ""unknown"", ""max_prob"": 0.5161362290382385, ""dist_to_pred_centroid"": 5.341831684112549, ""prob_threshold"": 0.5398888796567917, ""class_distance_threshold"": 4.467410373687743, ""is_unknown"": 1, ""reject_reason"": ""low_confidence+far_from_centroid"", ""engine_ready"": true, ""engine_error"": """"}",benign,unknown,0.5161362290382385,0.5398888796567917,5.341831684112549,4.467410373687743,low_confidence+far_from_centroid,unknown,osr,0.5161362290382385,0.85,"51.222.253.14 - - [22/Oct/2021:02:28:56 -0700] ""GET /Datasets%20Description/Network/ftp.html HTTP/1.1"" 200 1486 ""-"" ""Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)"" ",low,请求来源 IP 地址为 51.222.253.14，请求内容为对 /Datasets Description/Network/ftp.html 页面的正常 GET 请求，响应状态码为 200，请求头中的 User-Agent 为 AhrefsBot，表示这是一个爬虫或数据分析工具的访问，未检测到任何可疑行为或攻击模式。,,,继续监控该 IP 地址的访问情况，如果需要进一步行为分析或特征识别时，可考虑增加针对特定页面或资源的访问控制策略。
apache_log_access.log_20260511_041056,apache_2,apache_log,0,,,no apache rule matched,0.15,0.68,webhawk_pca_dbscan,midterm-0.3,0,backend=webhawk_core; eps=0.1500; cluster=0; cluster_size=90; cluster_normal=1; heuristic=special_tokens=8,1,textcnn_osr_hardneg75,"{""pred_label"": ""benign"", ""final_label"": ""unknown"", ""max_prob"": 0.5382465124130249, ""dist_to_pred_centroid"": 5.1251091957092285, ""prob_threshold"": 0.5398888796567917, ""class_distance_threshold"": 4.467410373687743, ""is_unknown"": 1, ""reject_reason"": ""low_confidence+far_from_centroid"", ""engine_ready"": true, ""engine_error"": """"}",benign,unknown,0.5382465124130249,0.5398888796567917,5.1251091957092285,4.467410373687743,low_confidence+far_from_centroid,unknown,osr,0.5382465124130249,0.85,"51.222.253.5 - - [22/Oct/2021:02:47:52 -0700] ""GET /Datasets%20Description/Network/ssl.html HTTP/1.1"" 200 1541 ""-"" ""Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)"" ",low,请求地址为 /Datasets Description/Network/ssl.html，可能是用户正常访问资源页面，未检测到可疑行为。,,A9:2017:漏洞和配置管理; A3:2017:侧载攻击; A6:2017:信息泄露,无需采取特别措施，继续保持正常运行。建议定期更新安全策略，监控异常流量以提高系统安全性。
apache_log_access.log_20260511_041056,apache_3,apache_log,0,,,no apache rule matched,0.15,0.68,webhawk_pca_dbscan,midterm-0.3,0,backend=webhawk_core; eps=0.1500; cluster=1; cluster_size=128; cluster_normal=1; heuristic=special_tokens=6,1,textcnn_osr_hardneg75,"{""pred_label"": ""suspicious_path_probe"", ""final_label"": ""unknown"", ""max_prob"": 0.4853888154029846, ""dist_to_pred_centroid"": 6.245889663696289, ""prob_threshold"": 0.5398888796567917, ""class_distance_threshold"": 5.560724353790283, ""is_unknown"": 1, ""reject_reason"": ""low_confidence+far_from_centroid"", ""engine_ready"": true, ""engine_error"": """"}",suspicious_path_probe,unknown,0.4853888154029846,0.5398888796567917,6.245889663696289,5.560724353790283,low_confidence+far_from_centroid,unknown,osr,0.4853888154029846,0.85,"49.7.20.128 - - [22/Oct/2021:02:49:49 -0700] ""GET / HTTP/1.1"" 200 13149 ""-"" ""Sogou web spider/4.0(+http://www.sogou.com/docs/help/webmasters.htm#07)"" ",medium,请求来源IP为49.7.20.128，使用GET请求访问了根路径/，响应状态码为200，请求头中包含了Sogou web spider，表示这是一个搜索引擎爬虫的访问。这种情况通常不被视为恶意攻击，是正常的爬虫活动。,,A7:2017:过多的参数; A8:2017:2017版云安全常识,无需采取特殊措施。可以考虑监控和记录所有来自Sogou web spider的访问日志，以便分析是否存在其他潜在问题。
apache_log_access.log_20260511_041056,apache_4,apache_log,0,,,no apache rule matched,0.15,0.68,webhawk_pca_dbscan,midterm-0.3,0,backend=webhawk_core; eps=0.1500; cluster=1; cluster_size=128; cluster_normal=1; heuristic=special_tokens=8,1,textcnn_osr_hardneg75,"{""pred_label"": ""suspicious_path_probe"", ""final_label"": ""unknown"", ""max_prob"": 0.4853888154029846, ""dist_to_pred_centroid"": 6.245889663696289, ""prob_threshold"": 0.5398888796567917, ""class_distance_threshold"": 5.560724353790283, ""is_unknown"": 1, ""reject_reason"": ""low_confidence+far_from_centroid"", ""engine_ready"": true, ""engine_error"": """"}",suspicious_path_probe,unknown,0.4853888154029846,0.5398888796567917,6.245889663696289,5.560724353790283,low_confidence+far_from_centroid,unknown,osr,0.4853888154029846,0.85,"116.86.203.45 - - [22/Oct/2021:02:50:49 -0700] ""GET / HTTP/1.1"" 200 13186 ""-"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36"" ",low,该 HTTP 请求来自 IP 地址 116.86.203.45，尝试访问服务器根路径 `/`，请求成功返回状态码 200。根据检测结果，该请求被标识为未知风险，且在异常分数和开放集原因中表明存在较低的可信度和距离预测中心的距离，但没有足够的证据表明其是恶意攻击。,,A3:2017: 暴力攻击; A4:2017: 侧载; A6:2017: 密码配置问题; A7:2017: 跨站脚本 (XSS); A8:2017: 跨站请求伪造 (CSRF); A9:2017: 暴露敏感数据; A10:2017: 不安全的数据存储,虽然该请求被标记为未知风险，但仍建议进行常规的安全审查和配置优化，例如启用 HTTPS、强化防火墙规则、实施访问控制和日志记录，以及定期更新软件以防止已知漏洞的利用。
apache_log_access.log_20260511_041056,apache_5,apache_log,0,,,no apache rule matched,0.35,0.68,webhawk_pca_dbscan,midterm-0.3,0,backend=webhawk_core; eps=0.1500; cluster=2; cluster_size=151; cluster_normal=1; heuristic=status=404; special_tokens=8,1,textcnn_osr_hardneg75,"{""pred_label"": ""benign"", ""final_label"": ""unknown"", ""max_prob"": 0.4169871509075165, ""dist_to_pred_centroid"": 5.963250637054443, ""prob_threshold"": 0.5398888796567917, ""class_distance_threshold"": 4.467410373687743, ""is_unknown"": 1, ""reject_reason"": ""low_confidence+far_from_centroid"", ""engine_ready"": true, ""engine_error"": """"}",benign,unknown,0.4169871509075165,0.5398888796567917,5.963250637054443,4.467410373687743,low_confidence+far_from_centroid,unknown,osr,0.4169871509075165,0.85,"116.86.203.45 - - [22/Oct/2021:02:50:49 -0700] ""GET /css/style.css HTTP/1.1"" 404 305 ""http://www.secrepo.com/"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36"" ",low,该 HTTP 请求是一个对资源 /css/style.css 的 GET 请求，返回状态码 404，表明资源不存在。这种请求可能是由于用户输入错误或者资源已被移动导致。无法确定是否存在恶意行为。,,A3:2017-Sensitive Data Exposure; A6:2017-Security Misconfiguration,建议检查服务器配置，确保没有敏感数据暴露。同时，验证是否存在未知的资源路径，防止未知的攻击行为。
apache_log_access.log_20260511_041056,apache_6,apache_log,0,,,no apache rule matched,0.78,0.68,webhawk_pca_dbscan,midterm-0.3,1,backend=webhawk_core; eps=0.1500; cluster=3; cluster_size=25; minority_cluster=1; heuristic=special_tokens=8,1,textcnn_osr_hardneg75,"{""pred_label"": ""suspicious_path_probe"", ""final_label"": ""unknown"", ""max_prob"": 0.3592711091041565, ""dist_to_pred_centroid"": 6.137630462646484, ""prob_threshold"": 0.5398888796567917, ""class_distance_threshold"": 5.560724353790283, ""is_unknown"": 1, ""reject_reason"": ""low_confidence+far_from_centroid"", ""engine_ready"": true, ""engine_error"": """"}",suspicious_path_probe,unknown,0.3592711091041565,0.5398888796567917,6.137630462646484,5.560724353790283,low_confidence+far_from_centroid,unknown,osr,0.3592711091041565,0.85,"116.86.203.45 - - [22/Oct/2021:02:50:49 -0700] ""GET /twitter-icon.png HTTP/1.1"" 200 27916 ""http://www.secrepo.com/"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36"" ",low,该请求尝试访问了可能是路径探测的资源，但由于没有匹配到特定的Apache规则，系统未能识别出明显的恶意意图。尽管风险分数较高，但由于未知标签和低置信度，最终判定为未知风险。,,A3:2017 - Sensitive Data Exposure; A4:2017 - Broken Authentication,建议审查服务器日志以识别任何可疑的路径请求，并确保所有可访问的资源都经过适当的访问控制验证。同时，更新和配置Apache规则以捕获潜在的恶意路径探测尝试。
apache_log_access.log_20260511_041056,apache_7,apache_log,0,,,no apache rule matched,0.78,0.68,webhawk_pca_dbscan,midterm-0.3,1,backend=webhawk_core; eps=0.1500; cluster=4; cluster_size=22; minority_cluster=1; heuristic=special_tokens=8,1,textcnn_osr_hardneg75,"{""pred_label"": ""command_exec"", ""final_label"": ""unknown"", ""max_prob"": 0.3487485349178314, ""dist_to_pred_centroid"": 4.2376017570495605, ""prob_threshold"": 0.75, ""class_distance_threshold"": 2.8727237254381177, ""is_unknown"": 1, ""reject_reason"": ""low_confidence+far_from_centroid"", ""engine_ready"": true, ""engine_error"": """"}",command_exec,unknown,0.3487485349178314,0.75,4.2376017570495605,2.8727237254381177,low_confidence+far_from_centroid,unknown,osr,0.3487485349178314,0.85,"116.86.203.45 - - [22/Oct/2021:02:50:49 -0700] ""GET /GitHub-Mark.png HTTP/1.1"" 200 7556 ""http://www.secrepo.com/"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36"" ",low,该请求为获取 GitHub 图标，未执行任何命令或远程操作，请求返回正常 200 状态码，表明没有恶意操作。,,A6:2021-信息和身份验证错误,建议监控和审计不常见的文件访问，尤其是系统核心目录下的文件，以防止未经授权的访问或命令执行。同时，确保系统和应用程序都保持最新补丁，以减少安全风险。
apache_log_access.log_20260511_041056,apache_8,apache_log,0,,,no apache rule matched,0.15,0.68,webhawk_pca_dbscan,midterm-0.3,0,backend=webhawk_core; eps=0.1500; cluster=2; cluster_size=151; cluster_normal=1; heuristic=special_tokens=8,1,textcnn_osr_hardneg75,"{""pred_label"": ""benign"", ""final_label"": ""unknown"", ""max_prob"": 0.47987058758735657, ""dist_to_pred_centroid"": 5.096369743347168, ""prob_threshold"": 0.5398888796567917, ""class_distance_threshold"": 4.467410373687743, ""is_unknown"": 1, ""reject_reason"": ""low_confidence+far_from_centroid"", ""engine_ready"": true, ""engine_error"": """"}",benign,unknown,0.47987058758735657,0.5398888796567917,5.096369743347168,4.467410373687743,low_confidence+far_from_centroid,unknown,osr,0.47987058758735657,0.85,"116.86.203.45 - - [22/Oct/2021:02:50:50 -0700] ""GET /bootstrap/img/favicon.ico HTTP/1.1"" 200 690 ""http://www.secrepo.com/"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36"" ",low,该请求为获取 favicon.ico 文件，请求来源 IP 为 116.86.203.45，返回状态码 200，表明请求成功。根据请求内容和来源 IP，目前无法判断是否为恶意行为。,,A3:2017-Sensitive Data Exposure; A4:2017-Broken Authentication,建议进一步分析请求来源 IP 的行为模式，以及对 favicon.ico 文件的访问是否合法。可以考虑限制对 favicon.ico 文件的访问权限，确保服务器端不暴露敏感信息。
apache_log_access.log_20260511_041056,apache_9,apache_log,0,,,no apache rule matched,0.25,0.68,webhawk_pca_dbscan,midterm-0.3,0,backend=webhawk_core; eps=0.1500; cluster=0; cluster_size=90; cluster_normal=1; heuristic=long_path=47; special_tokens=8,1,textcnn_osr_hardneg75,"{""pred_label"": ""benign"", ""final_label"": ""unknown"", ""max_prob"": 0.5160090923309326, ""dist_to_pred_centroid"": 5.130051612854004, ""prob_threshold"": 0.5398888796567917, ""class_distance_threshold"": 4.467410373687743, ""is_unknown"": 1, ""reject_reason"": ""low_confidence+far_from_centroid"", ""engine_ready"": true, ""engine_error"": """"}",benign,unknown,0.5160090923309326,0.5398888796567917,5.130051612854004,4.467410373687743,low_confidence+far_from_centroid,unknown,osr,0.5160090923309326,0.85,"51.222.253.10 - - [22/Oct/2021:02:57:01 -0700] ""GET /Datasets%20Description/PE_malware/OPCleaver.html HTTP/1.1"" 200 1414 ""-"" ""Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)"" ",low,根据检测结果，该请求被归类为未知风险，但由于存在一定的不确定性（confidence 低且距离类中心较远），仍需警惕潜在的恶意行为。,,A3:2017:跨站脚本（XSS）; A6:2017:信息安全管理不足,建议进一步审查该请求的来源IP和用户代理，确保请求合法性。同时，加强对用户代理中特定关键字的检测，例如 'bot'，并对可疑请求进行限流或拦截。
apache_log_access.log_20260511_041056,apache_10,apache_log,0,,,no apache rule matched,0.15,0.68,webhawk_pca_dbscan,midterm-0.3,0,backend=webhawk_core; eps=0.1500; cluster=2; cluster_size=151; cluster_normal=1; heuristic=special_tokens=8,1,textcnn_osr_hardneg75,"{""pred_label"": ""suspicious_path_probe"", ""final_label"": ""unknown"", ""max_prob"": 0.4417332410812378, ""dist_to_pred_centroid"": 5.346417427062988, ""prob_threshold"": 0.5398888796567917, ""class_distance_threshold"": 5.560724353790283, ""is_unknown"": 1, ""reject_reason"": ""low_confidence"", ""engine_ready"": true, ""engine_error"": """"}",suspicious_path_probe,unknown,0.4417332410812378,0.5398888796567917,5.346417427062988,5.560724353790283,low_confidence,unknown,osr,0.4417332410812378,0.85,"157.55.39.24 - - [22/Oct/2021:03:01:19 -0700] ""GET /self.logs/access.log.2017-03-14.gz HTTP/1.1"" 301 543 ""-"" ""Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"" ",low,该 HTTP 请求包含了尝试访问日志文件的行为，这可能是为了了解系统的安全性或者是收集敏感信息。尽管目前没有匹配到特定的 Apache 规则，但这种行为仍需警惕。,,A5:2017-XXE; A8:2017-SQL Injection,建议更新 Web 服务器防火墙规则，限制对日志文件的访问。同时，监控异常访问模式，确保系统的安全性。
