cluster_id,pseudo_label,size,top_osr_pred_label,top_reject_reason,sample_record_ids,sample_texts
2,unknown_cluster_02,178,suspicious_path_probe,low_confidence+far_from_centroid,"apache_247,apache_388,apache_530,apache_12,apache_14",METHOD=GET PATH=/ QUERY= PROTOCOL=HTTP/1.1 | METHOD=GET PATH=/ QUERY= PROTOCOL=HTTP/1.1 | METHOD=GET PATH=/ QUERY= PROTOCOL=HTTP/1.1
4,unknown_cluster_04,52,benign,low_confidence+far_from_centroid,"apache_260,apache_11,apache_170,apache_565,apache_172",METHOD=GET PATH=/Datasets%20Description/Network/ QUERY=C=N;O=A PROTOCOL=HTTP/1.1 | METHOD=GET PATH=/Datasets%20Description/Network/dns.html QUERY= PROTOCOL=HTTP/1.1 | METHOD=GET PATH=/Datasets%20Description/Network/dns.html QUERY= PROTOCOL=HTTP/1.1
8,unknown_cluster_08,44,suspicious_path_probe,low_confidence+far_from_centroid,"apache_283,apache_271,apache_467,apache_268,apache_464",METHOD=GET PATH=/self.logs/2016/ QUERY=C=D;O=A PROTOCOL=HTTP/1.1 | METHOD=GET PATH=/self.logs/ QUERY=C=S;O=A PROTOCOL=HTTP/1.1 | METHOD=GET PATH=/self.logs/ QUERY=C=S;O=A PROTOCOL=HTTP/1.1
6,unknown_cluster_06,43,suspicious_path_probe,low_confidence,"apache_89,apache_76,apache_339,apache_596,apache_365",METHOD=GET PATH=/self.logs/access.log.2019-01-08.gz QUERY= PROTOCOL=HTTP/1.1 | METHOD=GET PATH=/self.logs/access.log.2021-06-17.gz QUERY= PROTOCOL=HTTP/1.1 | METHOD=GET PATH=/self.logs/access.log.2017-06-01.gz QUERY= PROTOCOL=HTTP/1.1
5,unknown_cluster_05,39,benign,low_confidence+far_from_centroid,"apache_24,apache_40,apache_54,apache_55,apache_92",METHOD=GET PATH=/robots.txt QUERY= PROTOCOL=HTTP/1.1 | METHOD=GET PATH=/robots.txt QUERY= PROTOCOL=HTTP/1.1 | METHOD=GET PATH=/robots.txt QUERY= PROTOCOL=HTTP/1.1
1,unknown_cluster_01,35,suspicious_path_probe,low_confidence+far_from_centroid,"apache_6,apache_47,apache_49,apache_72,apache_105",METHOD=GET PATH=/twitter-icon.png QUERY= PROTOCOL=HTTP/1.1 | METHOD=GET PATH=/twitter-icon.png QUERY= PROTOCOL=HTTP/1.1 | METHOD=GET PATH=/twitter-icon.png QUERY= PROTOCOL=HTTP/1.1
3,unknown_cluster_03,33,suspicious_path_probe,low_confidence,"apache_100,apache_90,apache_363,apache_79,apache_367",METHOD=GET PATH=/self.logs/error.log.2020-02-13.gz QUERY= PROTOCOL=HTTP/1.1 | METHOD=GET PATH=/self.logs/error.log.2017-07-10.gz QUERY= PROTOCOL=HTTP/1.1 | METHOD=GET PATH=/self.logs/error.log.2021-10-03.gz QUERY= PROTOCOL=HTTP/1.1
7,unknown_cluster_07,33,benign,low_confidence+far_from_centroid,"apache_48,apache_195,apache_51,apache_5,apache_82",METHOD=GET PATH=/css/style.css QUERY= PROTOCOL=HTTP/1.1 | METHOD=GET PATH=/css/style.css QUERY= PROTOCOL=HTTP/1.1 | METHOD=GET PATH=/css/style.css QUERY= PROTOCOL=HTTP/1.1
10,unknown_cluster_10,26,command_exec,low_confidence+far_from_centroid,"apache_7,apache_46,apache_50,apache_71,apache_117",METHOD=GET PATH=/GitHub-Mark.png QUERY= PROTOCOL=HTTP/1.1 | METHOD=GET PATH=/GitHub-Mark.png QUERY= PROTOCOL=HTTP/1.1 | METHOD=GET PATH=/GitHub-Mark.png QUERY= PROTOCOL=HTTP/1.1
11,unknown_cluster_11,21,benign,low_confidence+far_from_centroid,"apache_8,apache_73,apache_106,apache_129,apache_190",METHOD=GET PATH=/bootstrap/img/favicon.ico QUERY= PROTOCOL=HTTP/1.1 | METHOD=GET PATH=/bootstrap/img/favicon.ico QUERY= PROTOCOL=HTTP/1.1 | METHOD=GET PATH=/bootstrap/img/favicon.ico QUERY= PROTOCOL=HTTP/1.1
0,unknown_cluster_00,13,command_exec,low_confidence+far_from_centroid,"apache_334,apache_321,apache_332,apache_338,apache_328",METHOD=POST PATH=/txual.php QUERY= PROTOCOL=HTTP/1.1 | METHOD=POST PATH=/plus/90sec.php QUERY= PROTOCOL=HTTP/1.1 | METHOD=POST PATH=/ysyqq.php QUERY= PROTOCOL=HTTP/1.1
9,unknown_cluster_09,7,command_exec,low_confidence+far_from_centroid,"apache_322,apache_210,apache_318,apache_317,apache_323",METHOD=POST PATH=/utility/convert/index.php QUERY=a=config&source=d7.2_x2.0 PROTOCOL=HTTP/1.1 | METHOD=GET PATH=/sites/all/libraries/elfinder/elfinder.php.html QUERY= PROTOCOL=HTTP/1.1 | METHOD=GET PATH=/index.php QUERY=m=member&c=index&a=register&siteid=1 PROTOCOL=HTTP/1.1
