row_idx,text,pred_label,max_prob,prob_threshold,dist_to_pred_centroid,class_distance_threshold,is_unknown,final_label,reject_reason,unknown_pool_type,auto_pool_reason,manual_pool,manual_true_label,notes,path
812,"GET /xxxss HTTP/1.1 STATUS=404 BYTES=338 UA=""Mozilla/5.0 (Windows NT 10.0; WOW64; rv:48.0) Gecko/20100101 Firefox/48.0""",benign,0.5224332809448242,0.6156849563121796,5.572461128234863,5.838057994842529,1,unknown,low_confidence,needs_review,uncertain,attack_like_unknown,unknown,likely scanner probe for uncommon web path,/xxxss
857,"HEAD /restore/archive.zip HTTP/1.1 STATUS=301 BYTES=186 UA=""-""",benign,0.4895256757736206,0.6156849563121796,3.5612409114837646,5.838057994842529,1,unknown,low_confidence,needs_review,uncertain,attack_like_unknown,unknown,backup/archive exposure probe or sensitive file enumeration,/restore/archive.zip
866,"HEAD /bak/backup.zip HTTP/1.1 STATUS=301 BYTES=181 UA=""-""",benign,0.574858546257019,0.6156849563121796,3.6484463214874254,5.838057994842529,1,unknown,low_confidence,needs_review,uncertain,attack_like_unknown,unknown,backup/archive exposure probe or sensitive file enumeration,/bak/backup.zip
889,"HEAD /bak/website.zip HTTP/1.1 STATUS=301 BYTES=182 UA=""-""",benign,0.5158359408378601,0.6156849563121796,3.6913485527038574,5.838057994842529,1,unknown,low_confidence,needs_review,uncertain,attack_like_unknown,unknown,backup/archive exposure probe or sensitive file enumeration,/bak/website.zip
890,"HEAD /old/archive.zip HTTP/1.1 STATUS=301 BYTES=182 UA=""-""",benign,0.5105632543563843,0.6156849563121796,3.506253480911255,5.838057994842529,1,unknown,low_confidence,needs_review,uncertain,attack_like_unknown,unknown,backup/archive exposure probe or sensitive file enumeration,/old/archive.zip
899,"HEAD /secrepo.com.zip HTTP/1.1 STATUS=301 BYTES=182 UA=""-""",benign,0.5476239919662476,0.6156849563121796,3.37566351890564,5.838057994842529,1,unknown,low_confidence,needs_review,uncertain,attack_like_unknown,unknown,backup/archive exposure probe or sensitive file enumeration,/secrepo.com.zip
903,"HEAD /old/backup.zip HTTP/1.1 STATUS=301 BYTES=181 UA=""-""",benign,0.5625947713851929,0.6156849563121796,3.528994560241699,5.838057994842529,1,unknown,low_confidence,needs_review,uncertain,attack_like_unknown,unknown,backup/archive exposure probe or sensitive file enumeration,/old/backup.zip
909,"HEAD /backups/bak.zip HTTP/1.1 STATUS=301 BYTES=182 UA=""-""",benign,0.5552259087562561,0.6156849563121796,3.705904245376587,5.838057994842529,1,unknown,low_confidence,needs_review,uncertain,attack_like_unknown,unknown,backup/archive exposure probe or sensitive file enumeration,/backups/bak.zip
919,"HEAD /back/mysql.sql HTTP/1.1 STATUS=404 BYTES=275 UA=""-""",benign,0.4854401051998138,0.6156849563121796,3.6789398193359375,5.838057994842529,1,unknown,low_confidence,needs_review,uncertain,attack_like_unknown,unknown,backup/archive exposure probe or sensitive file enumeration,/back/mysql.sql
921,"HEAD /backups/website.zip HTTP/1.1 STATUS=301 BYTES=186 UA=""-""",benign,0.5413007736206055,0.6156849563121796,3.522702217102051,5.838057994842529,1,unknown,low_confidence,needs_review,uncertain,attack_like_unknown,unknown,backup/archive exposure probe or sensitive file enumeration,/backups/website.zip
