row_idx,text,pred_label,max_prob,prob_threshold,dist_to_pred_centroid,class_distance_threshold,is_unknown,final_label,reject_reason,unknown_pool_type,auto_pool_reason,manual_pool,manual_true_label,notes,path
2,"GET / HTTP/1.1 STATUS=200 BYTES=13149 UA=""Sogou web spider/4.0(+http://www.sogou.com/docs/help/webmasters.htm#07)""",benign,0.5785744190216064,0.6156849563121796,3.898143768310547,5.838057994842529,1,unknown,low_confidence,ood_benign,doc_like_page,,,,
7,"GET /Datasets Description/PE_malware/OPCleaver.html HTTP/1.1 STATUS=200 BYTES=1414 UA=""Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)""",benign,0.5946983098983765,0.6156849563121796,4.539223670959473,5.838057994842529,1,unknown,low_confidence,ood_benign,doc_like_page,,,,
8,"GET /self.logs/access.log.2017-03-14.gz HTTP/1.1 STATUS=301 BYTES=543 UA=""Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)""",benign,0.4919740855693817,0.6156849563121796,4.841362953186035,5.838057994842529,1,unknown,low_confidence,ood_benign,bot_like,,,,
11,"GET /self.logs/ HTTP/1.1 STATUS=200 BYTES=32315 UA=""Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)""",benign,0.6042197942733765,0.6156849563121796,4.49748420715332,5.838057994842529,1,unknown,low_confidence,ood_benign,bot_like,,,,
16,"GET /self.logs/access.log.2019-04-26.gz HTTP/1.1 STATUS=200 BYTES=23077 UA=""Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)""",benign,0.6078473329544067,0.6156849563121796,4.429687023162842,5.838057994842529,1,unknown,low_confidence,ood_benign,bot_like,,,,
17,"GET /self.logs/access.log.2019-11-22.gz HTTP/1.1 STATUS=200 BYTES=24264 UA=""Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)""",benign,0.603547215461731,0.6156849563121796,4.458496570587158,5.838057994842529,1,unknown,low_confidence,ood_benign,bot_like,,,,
18,"GET /robots.txt HTTP/1.1 STATUS=200 BYTES=377 UA=""Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)""",benign,0.544373631477356,0.6156849563121796,4.681467533111572,5.838057994842529,1,unknown,low_confidence,ood_benign,bot_like,,,,
19,"GET /self.logs/error.log.2017-10-18.gz HTTP/1.1 STATUS=200 BYTES=2797 UA=""Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)""",benign,0.5913388133049011,0.6156849563121796,4.26134729385376,5.838057994842529,1,unknown,low_confidence,ood_benign,bot_like,,,,
22,"GET /Datasets Description/Network/tunnel.html HTTP/1.1 STATUS=200 BYTES=1426 UA=""Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)""",benign,0.5893389582633972,0.6156849563121796,4.543121337890625,5.838057994842529,1,unknown,low_confidence,ood_benign,doc_like_page,,,,
24,"GET / HTTP/1.1 STATUS=200 BYTES=13149 UA=""Sogou web spider/4.0(+http://www.sogou.com/docs/help/webmasters.htm#07)""",benign,0.5785744190216064,0.6156849563121796,3.898143768310547,5.838057994842529,1,unknown,low_confidence,ood_benign,doc_like_page,,,,
25,"GET /self.logs/access.log.2021-03-10.gz HTTP/1.1 STATUS=200 BYTES=29938 UA=""Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)""",benign,0.5691231489181519,0.6156849563121796,4.550393581390381,5.838057994842529,1,unknown,low_confidence,ood_benign,bot_like,,,,
26,"GET /self.logs/error.log.2017-02-17.gz HTTP/1.1 STATUS=200 BYTES=874 UA=""Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)""",benign,0.6051121950149536,0.6156849563121796,4.315223217010498,5.838057994842529,1,unknown,low_confidence,ood_benign,bot_like,,,,
31,"GET /self.logs/access.log.2020-05-15.gz HTTP/1.1 STATUS=200 BYTES=9620 UA=""Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)""",benign,0.6120381951332092,0.6156849563121796,4.544783592224121,5.838057994842529,1,unknown,low_confidence,ood_benign,bot_like,,,,
33,"GET /robots.txt HTTP/1.1 STATUS=200 BYTES=377 UA=""Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)""",benign,0.5172491669654846,0.6156849563121796,4.747979164123535,5.838057994842529,1,unknown,low_confidence,ood_benign,bot_like,,,,
34,"GET /Datasets Description/Network/http.html HTTP/1.1 STATUS=200 BYTES=1709 UA=""Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)""",benign,0.5869958996772766,0.6156849563121796,4.502138614654541,5.838057994842529,1,unknown,low_confidence,ood_benign,doc_like_page,,,,
35,"GET /self.logs/access.log.2020-10-26.gz HTTP/1.1 STATUS=200 BYTES=12128 UA=""Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)""",benign,0.605420708656311,0.6156849563121796,4.662591457366943,5.838057994842529,1,unknown,low_confidence,ood_benign,bot_like,,,,
36,"GET /self.logs/error.log.2017-10-17.gz HTTP/1.1 STATUS=200 BYTES=4081 UA=""Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)""",benign,0.613620400428772,0.6156849563121796,4.200202465057373,5.838057994842529,1,unknown,low_confidence,ood_benign,bot_like,,,,
39,"GET /GitHub-Mark.png HTTP/1.1 STATUS=200 BYTES=7519 REF=""http://www.secrepo.com/"" UA=""Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)""",benign,0.4489602744579315,0.6156849563121796,5.829659461975098,5.838057994842529,1,unknown,low_confidence,ood_benign,bot_like,,,,
40,"GET /twitter-icon.png HTTP/1.1 STATUS=200 BYTES=27879 REF=""http://www.secrepo.com/"" UA=""Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)""",command_exec,0.4221642613410949,0.6156849563121796,4.11607027053833,2.573125225305557,1,unknown,low_confidence+far_from_centroid,ood_benign,bot_like,,,,
41,"GET /css/style.css HTTP/1.1 STATUS=404 BYTES=291 REF=""http://www.secrepo.com/"" UA=""Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)""",command_exec,0.5658372044563293,0.6156849563121796,3.312791109085083,2.573125225305557,1,unknown,low_confidence+far_from_centroid,ood_benign,bot_like,,,,
42,"GET /twitter-icon.png HTTP/1.1 STATUS=200 BYTES=27879 REF=""http://www.secrepo.com/"" UA=""Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)""",benign,0.5237101912498474,0.6156849563121796,5.756431579589844,5.838057994842529,1,unknown,low_confidence,ood_benign,bot_like,,,,
43,"GET /GitHub-Mark.png HTTP/1.1 STATUS=200 BYTES=7519 REF=""http://www.secrepo.com/"" UA=""Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)""",benign,0.554422914981842,0.6156849563121796,5.74737548828125,5.838057994842529,1,unknown,low_confidence,ood_benign,bot_like,,,,
44,"GET /css/style.css HTTP/1.1 STATUS=404 BYTES=291 REF=""http://www.secrepo.com/"" UA=""Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)""",command_exec,0.4758346974849701,0.6156849563121796,3.61116099357605,2.573125225305557,1,unknown,low_confidence+far_from_centroid,ood_benign,bot_like,,,,
45,"GET /self.logs/error.log.2020-03-23 HTTP/1.1 STATUS=200 BYTES=307 UA=""Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)""",benign,0.5986846685409546,0.6156849563121796,4.529628276824951,5.838057994842529,1,unknown,low_confidence,ood_benign,bot_like,,,,
47,"GET /robots.txt HTTP/1.1 STATUS=301 BYTES=495 UA=""Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)""",benign,0.5807297229766846,0.6156849563121796,4.273015022277832,5.838057994842529,1,unknown,low_confidence,ood_benign,bot_like,,,,
48,"GET /robots.txt HTTP/1.1 STATUS=200 BYTES=377 UA=""Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)""",benign,0.5482538342475891,0.6156849563121796,4.606566905975342,5.838057994842529,1,unknown,low_confidence,ood_benign,bot_like,,,,
49,"GET /   HTTP/1.1 STATUS=301 BYTES=427 UA=""Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)""",benign,0.5255016684532166,0.6156849563121796,4.558024883270264,5.838057994842529,1,unknown,low_confidence,ood_benign,bot_like,,,,
50,"GET /Â Â HTTP/1.1 STATUS=404 BYTES=284 UA=""Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)""",command_exec,0.3997843265533447,0.6156849563121796,4.292694568634033,2.573125225305557,1,unknown,low_confidence+far_from_centroid,ood_benign,bot_like,,,,
51,"GET /honeypot//""http://amunhoney.sourceforge.net//"" HTTP/1.1 STATUS=404 BYTES=250 UA=""Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)""",command_exec,0.4481376111507416,0.6156849563121796,3.8498740196228014,2.573125225305557,1,unknown,low_confidence+far_from_centroid,ood_benign,bot_like,,,,
52,"GET /honeypot//""http://glastopf.org//"" HTTP/1.1 STATUS=404 BYTES=284 UA=""Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)""",command_exec,0.4160400927066803,0.6156849563121796,4.114253044128418,2.573125225305557,1,unknown,low_confidence+far_from_centroid,ood_benign,bot_like,,,,
53,"GET /honeypot//""http://www.maxmind.com/"" HTTP/1.1 STATUS=404 BYTES=284 UA=""Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)""",command_exec,0.4783697128295898,0.6156849563121796,3.76613712310791,2.573125225305557,1,unknown,low_confidence+far_from_centroid,ood_benign,bot_like,,,,
54,"GET /honeypot//""https://twitter.com/sooshie/"" HTTP/1.1 STATUS=404 BYTES=284 UA=""Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)""",command_exec,0.4300606250762939,0.6156849563121796,3.99867582321167,2.573125225305557,1,unknown,low_confidence+far_from_centroid,ood_benign,bot_like,,,,
55,"GET /honeypot//""https://twitter.com/theroxyd/"" HTTP/1.1 STATUS=404 BYTES=284 UA=""Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)""",command_exec,0.4369818270206451,0.6156849563121796,3.9608874320983887,2.573125225305557,1,unknown,low_confidence+far_from_centroid,ood_benign,bot_like,,,,
56,"GET /self.logs/ HTTP/1.1 STATUS=200 BYTES=32315 UA=""Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)""",benign,0.5464381575584412,0.6156849563121796,4.652975082397461,5.838057994842529,1,unknown,low_confidence,ood_benign,bot_like,,,,
