row_idx,true_id,true_label,pred_id,pred_label,max_prob,embedding,is_correct,dist_to_pred_centroid,nearest_centroid_id,nearest_centroid_dist
0,0,benign,0,benign,0.9989123344421387,"[2.511941909790039, 1.6589889526367188, 4.158915042877197, 0.0, 0.0, 2.240734338760376, 0.0, 2.9082751274108887, 2.409367084503174, 1.1789469718933105, 0.0, 1.1846709251403809, 0.0, 0.0, 0.0, 3.7616188526153564, 0.0, 0.0, 3.2691402435302734, 0.0, 0.0, 0.0, 2.0197978019714355, 2.199770450592041, 1.637553095817566, 0.5444360971450806, 0.0, 1.7615725994110107, 0.0, 2.1601450443267822, 0.0, 1.8389430046081543, 1.9364229440689087, 0.6810558438301086, 0.0, 0.0, 0.6355401277542114, 0.6764612197875977, 0.0, 0.0, 0.022614631801843643, 4.17956018447876, 3.0582194328308105, 0.0, 3.6045570373535156, 0.9398106932640076, 0.5752962827682495, 1.3485097885131836, 3.886962652206421, 0.0, 0.37808021903038025, 3.6256320476531982, 0.0, 0.0, 2.842416763305664, 4.1779866218566895, 0.0, 1.4579246044158936, 0.4165653586387634, 3.3453805446624756, 0.0, 0.0, 2.352869987487793, 1.4203065633773804, 0.0, 0.0, 1.5944637060165405, 0.16534575819969177, 0.0, 0.0, 3.6669528484344482, 0.07030981034040451, 1.7821093797683716, 4.505987644195557, 2.237395763397217, 3.6004257202148438, 0.0, 0.6429846882820129, 0.0, 0.0, 0.0, 3.131793260574341, 4.16357946395874, 1.175345778465271, 0.0, 0.45060986280441284, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8764487504959106, 0.0, 2.7422478199005127, 0.0, 3.913438320159912, 1.347234845161438, 0.9400392770767212, 0.0, 2.069303512573242, 0.3195106089115143, 0.549789309501648, 0.0, 1.996379017829895, 0.0, 2.897676944732666, 0.5565927624702454, 0.6088635921478271, 0.0, 0.27981069684028625, 3.4969851970672607, 0.0, 1.81082022190094, 0.0, 2.7487189769744873, 0.3795475363731384, 2.3849942684173584, 0.9598202705383301, 5.524956703186035, 1.4621152877807617, 3.2792587280273438, 0.0, 3.4897446632385254, 0.0, 0.0, 0.0]",1,3.1227049827575684,0,3.1227049827575684
1,0,benign,0,benign,0.9951937794685364,"[1.8633891344070435, 1.6227089166641235, 3.5473732948303223, 0.0, 0.0, 1.9715937376022339, 0.0, 3.805574893951416, 2.5945703983306885, 2.2139270305633545, 0.0, 0.72288578748703, 0.0, 0.0, 0.0, 3.0150604248046875, 0.0, 0.5535197257995605, 3.0095837116241455, 0.0, 0.0, 0.0, 2.013949394226074, 2.6032321453094482, 2.3423032760620117, 1.180242896080017, 0.0, 0.5015797019004822, 0.0, 2.2056734561920166, 0.11605194956064224, 1.9751816987991333, 1.3196038007736206, 0.0, 0.0, 0.0, 1.1227338314056396, 0.8478941321372986, 0.0, 0.0, 0.20773492753505707, 4.392205238342285, 3.3229780197143555, 0.0, 3.6096081733703613, 1.343417763710022, 0.9175330996513367, 1.2752594947814941, 3.355971336364746, 0.0, 0.3870273530483246, 3.409623384475708, 0.0, 0.0, 2.8016390800476074, 3.474436044692993, 0.0, 1.1186126470565796, 1.3117395639419556, 3.5097639560699463, 0.0, 0.0, 2.858401298522949, 2.4155826568603516, 0.0, 0.0, 1.7106136083602905, 1.1420291662216187, 0.0, 0.0, 3.3029680252075195, 0.32607129216194153, 2.6107776165008545, 4.207885265350342, 1.3812307119369507, 3.1205289363861084, 0.4032542407512665, 0.6962528824806213, 0.0, 0.0, 0.0, 4.604269504547119, 3.8459577560424805, 1.2493282556533813, 0.0, 1.447993516921997, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6578911542892456, 0.0, 2.6397340297698975, 0.0, 3.407855749130249, 1.651371717453003, 1.4320498704910278, 0.0, 1.7431102991104126, 0.022397752851247787, 0.9523059129714966, 0.0, 2.239846706390381, 0.0, 1.9105662107467651, 0.7356393933296204, 0.9702526926994324, 0.0, 0.9535554051399231, 3.9051177501678467, 0.0, 1.1809017658233643, 0.3999454081058502, 1.8028827905654907, 0.27977705001831055, 0.8071072697639465, 0.9118438363075256, 4.936890125274658, 1.1358919143676758, 3.595534324645996, 0.0, 2.995349645614624, 0.0, 0.0, 0.0]",1,2.776360273361206,0,2.776360273361206
2,0,benign,0,benign,0.9957565665245056,"[2.1187691688537598, 1.690482497215271, 3.4523425102233887, 0.0, 0.0, 1.9775127172470093, 0.0, 3.6591930389404297, 2.5346555709838867, 2.3889846801757812, 0.0, 0.7896183133125305, 0.0, 0.0, 0.0, 3.218510627746582, 0.0, 0.5843607187271118, 3.107560634613037, 0.0, 0.0, 0.0, 1.9850093126296997, 2.667529821395874, 2.2054378986358643, 0.9543256163597107, 0.0, 0.34368959069252014, 0.0, 2.4613218307495117, 0.03137859329581261, 1.9581987857818604, 1.5164790153503418, 0.0, 0.0, 0.0, 1.2027631998062134, 1.1242256164550781, 0.0, 0.0, 0.031189696863293648, 4.439929962158203, 3.277010917663574, 0.0, 3.5818400382995605, 1.3839609622955322, 1.0619958639144897, 1.2691044807434082, 3.3054821491241455, 0.0, 0.5653347373008728, 3.3814523220062256, 0.0, 0.0, 2.8433239459991455, 3.4052505493164062, 0.0, 1.201059341430664, 1.3934015035629272, 3.660719633102417, 0.0, 0.0, 3.087249517440796, 2.21699857711792, 0.0, 0.0, 1.7838667631149292, 0.9619757533073425, 0.0, 0.0, 3.3899221420288086, 0.2873731255531311, 2.5459845066070557, 4.392786502838135, 1.3037959337234497, 3.057551622390747, 0.30556434392929077, 0.6659889221191406, 0.0, 0.0, 0.0, 4.512654781341553, 3.9686694145202637, 1.192857265472412, 0.0, 1.7141759395599365, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.41706013679504395, 0.0, 2.5629286766052246, 0.0, 3.4432003498077393, 1.7581707239151, 1.362741231918335, 0.0, 1.6986032724380493, 0.0, 1.1011216640472412, 0.0, 2.214670181274414, 0.0, 2.0320799350738525, 0.6685294508934021, 1.125107765197754, 0.0, 0.902754008769989, 4.251922130584717, 0.0, 1.2941101789474487, 0.5508455038070679, 1.8572195768356323, 0.09649066627025604, 0.7073476910591125, 0.9615243077278137, 4.981916904449463, 1.1821589469909668, 3.61983060836792, 0.0, 2.9463272094726562, 0.0, 0.0, 0.0]",1,2.945042848587036,0,2.945042848587036
3,0,benign,0,benign,0.9989204406738281,"[2.617992877960205, 1.9495673179626465, 3.7272720336914062, 0.0, 0.0, 2.258476972579956, 0.0, 2.7123703956604004, 2.6940877437591553, 1.3082172870635986, 0.0, 1.1173335313796997, 0.0, 0.11604898422956467, 0.0, 3.7407002449035645, 0.0, 0.0, 3.500886917114258, 0.0, 0.0, 0.0, 2.0572166442871094, 1.9835844039916992, 1.7367677688598633, 0.8360221982002258, 0.0, 1.5657539367675781, 0.0, 2.462120532989502, 0.0, 1.7588634490966797, 1.512183666229248, 0.43315020203590393, 0.0, 0.0, 0.578050971031189, 0.5851175785064697, 0.0, 0.0, 0.04650132358074188, 4.274629592895508, 3.4177098274230957, 0.0, 3.9197983741760254, 0.34985101222991943, 0.337779700756073, 1.628785252571106, 4.208706378936768, 0.0, 0.7829982042312622, 3.5371744632720947, 0.0, 0.0, 2.8847908973693848, 4.291313648223877, 0.0, 1.4371691942214966, 0.46150490641593933, 3.496610164642334, 0.0, 0.0, 2.243969440460205, 1.9029139280319214, 0.0, 0.0, 1.5791265964508057, 0.31596818566322327, 0.0, 0.0, 3.9138081073760986, 0.5452025532722473, 2.222074270248413, 4.833774089813232, 2.3159921169281006, 3.348602533340454, 0.46899428963661194, 0.1728317141532898, 0.0, 0.0, 0.0, 3.03873348236084, 4.522593021392822, 1.124019742012024, 0.0, 0.5268269181251526, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0011208057403564, 0.0, 2.792938232421875, 0.0, 3.8881444931030273, 1.3118129968643188, 1.0195188522338867, 0.0, 2.083130359649658, 0.05137252062559128, 0.49534276127815247, 0.0, 1.791995882987976, 0.0, 2.691451072692871, 0.6776421666145325, 0.6142878532409668, 0.0, 0.3238618075847626, 3.8434934616088867, 0.0, 1.9137343168258667, 0.0, 2.725806474685669, 0.026985004544258118, 2.5716733932495117, 0.9791088104248047, 5.4878692626953125, 1.4566560983657837, 3.5819408893585205, 0.0, 3.386728525161743, 0.0, 0.27096453309059143, 0.0]",1,3.19035005569458,0,3.19035005569458
4,0,benign,0,benign,0.9989651441574097,"[2.6057040691375732, 2.0313751697540283, 3.8124020099639893, 0.0, 0.0, 2.3416907787323, 0.0, 2.561227321624756, 2.633424758911133, 1.6111762523651123, 0.0, 0.8686262369155884, 0.0, 0.2431183159351349, 0.0, 3.6335020065307617, 0.0, 0.09707442671060562, 3.462160110473633, 0.0, 0.0, 0.0, 2.1071622371673584, 1.7886977195739746, 1.7684539556503296, 0.769031822681427, 0.0, 1.4448533058166504, 0.0, 2.4425199031829834, 0.0, 1.6162155866622925, 1.5429142713546753, 0.2587229609489441, 0.0, 0.0, 0.6096113920211792, 0.4233662486076355, 0.0, 0.0, 0.035956911742687225, 4.4338059425354, 3.2202720642089844, 0.0, 3.9183998107910156, 0.8776595592498779, 0.5112878084182739, 1.4995242357254028, 4.23372745513916, 0.0, 0.6845228672027588, 3.5854973793029785, 0.0, 0.0, 3.0245678424835205, 4.094642162322998, 0.0, 1.3988465070724487, 0.6965972781181335, 3.448664903640747, 0.0, 0.0, 2.4289841651916504, 1.7003225088119507, 0.0, 0.0, 1.5956391096115112, 0.24940156936645508, 0.0, 0.0, 3.862105369567871, 0.29838550090789795, 2.1158673763275146, 4.802064418792725, 2.3403830528259277, 3.4225542545318604, 0.39763566851615906, 0.20758944749832153, 0.0, 0.0, 0.0, 3.201447010040283, 4.487029075622559, 1.1945128440856934, 0.0, 0.4463675618171692, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9032472372055054, 0.0, 2.813000202178955, 0.0, 4.135354518890381, 1.475333333015442, 1.1650077104568481, 0.0, 1.886315107345581, 0.112066350877285, 0.5193896293640137, 0.0, 1.9664461612701416, 0.0, 2.81303334236145, 0.6797950863838196, 0.7177614569664001, 0.0, 0.36434465646743774, 3.8524324893951416, 0.0, 1.8483351469039917, 0.02199753373861313, 2.710829734802246, 0.020729506388306618, 2.4062228202819824, 0.8676424622535706, 5.655712604522705, 1.5234501361846924, 3.8062491416931152, 0.0, 3.427816867828369, 0.0, 0.25847283005714417, 0.0]",1,3.069828510284424,0,3.069828510284424
5,0,benign,0,benign,0.9982907176017761,"[2.6333301067352295, 2.2050423622131348, 3.5778520107269287, 0.0, 0.0, 2.400078535079956, 0.0, 2.5142955780029297, 2.477858781814575, 1.3374783992767334, 0.0, 0.8788245320320129, 0.0, 0.24589231610298157, 0.0, 4.020906925201416, 0.0, 0.21526259183883667, 3.39245343208313, 0.0, 0.0, 0.0, 2.1455328464508057, 1.8300763368606567, 1.6990219354629517, 0.5306529998779297, 0.0, 1.4407700300216675, 0.0, 2.5007450580596924, 0.0, 1.7142220735549927, 1.4350502490997314, 0.43373483419418335, 0.0, 0.0, 0.7967221736907959, 0.5832356810569763, 0.0, 0.0, 0.03930249810218811, 3.9631593227386475, 3.067418098449707, 0.0, 3.6486735343933105, 0.5338756442070007, 0.7195449471473694, 1.586573839187622, 3.8168671131134033, 0.0, 1.118399739265442, 3.3284876346588135, 0.0, 0.0, 2.732482671737671, 3.9665541648864746, 0.0, 1.5907273292541504, 0.5334107279777527, 3.40400767326355, 0.0, 0.0, 2.475179433822632, 1.8456528186798096, 0.0, 0.0, 1.6542116403579712, 0.17566213011741638, 0.0, 0.0, 3.940601110458374, 0.2687762677669525, 1.9879803657531738, 4.603601932525635, 2.5907509326934814, 3.2676777839660645, 0.17685873806476593, 0.350139319896698, 0.0, 0.0, 0.0, 3.0153684616088867, 4.168452262878418, 1.5153651237487793, 0.0, 0.9425547122955322, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.795442521572113, 0.0, 2.5861403942108154, 0.0, 3.8346776962280273, 1.3167935609817505, 0.857545018196106, 0.0, 1.7750062942504883, 0.45598527789115906, 0.6245907545089722, 0.0, 1.8490959405899048, 0.0, 2.6514856815338135, 0.7644902467727661, 1.0404894351959229, 0.0, 0.5558509826660156, 3.819587230682373, 0.0, 1.9516910314559937, 0.02254442870616913, 2.5026044845581055, 0.0, 2.295550584793091, 1.2037503719329834, 5.272059440612793, 1.4508031606674194, 3.5567941665649414, 0.0, 3.2693541049957275, 0.0, 0.20614905655384064, 0.0]",1,2.904357671737671,0,2.904357671737671
6,0,benign,0,benign,0.9988158941268921,"[2.3242409229278564, 2.023362159729004, 3.7064552307128906, 0.0, 0.0, 2.2767491340637207, 0.0, 2.8209574222564697, 2.623328447341919, 1.5078980922698975, 0.0, 1.1803431510925293, 0.0, 0.3004251718521118, 0.0, 3.783168077468872, 0.0, 0.0, 3.646334171295166, 0.0, 0.0, 0.0, 2.0841872692108154, 1.9011448621749878, 1.5913289785385132, 1.0075663328170776, 0.0, 1.4949792623519897, 0.0, 2.367612361907959, 0.0, 1.8512197732925415, 1.3006644248962402, 0.44310295581817627, 0.0, 0.0, 0.8165522813796997, 0.6682725548744202, 0.0, 0.0, 0.0, 4.044872283935547, 3.3683130741119385, 0.0, 3.7142386436462402, 0.6551015377044678, 0.4017663896083832, 1.4978898763656616, 4.317044734954834, 0.0, 0.7580162882804871, 3.4523465633392334, 0.0, 0.0, 2.8629448413848877, 4.250694274902344, 0.0, 1.5633231401443481, 0.5798383355140686, 3.3043510913848877, 0.0, 0.0, 2.3666024208068848, 1.844653606414795, 0.0, 0.0, 1.6801170110702515, 0.2490062117576599, 0.0, 0.0, 3.952293872833252, 0.2573038935661316, 2.0878028869628906, 4.675487518310547, 2.301081418991089, 3.4153928756713867, 0.25305262207984924, 0.4227292537689209, 0.0, 0.0, 0.0, 3.1348519325256348, 4.617435932159424, 1.1812018156051636, 0.0, 0.49250316619873047, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9430922865867615, 0.0, 2.5573058128356934, 0.0, 3.936187267303467, 1.3363357782363892, 1.0703341960906982, 0.0, 1.8927536010742188, 0.327256441116333, 0.5133482813835144, 0.0, 1.7908813953399658, 0.0, 2.671252489089966, 0.6961374878883362, 0.7642541527748108, 0.0, 0.3407703936100006, 4.0344648361206055, 0.0, 1.6635959148406982, 0.0, 2.6536786556243896, 0.0, 2.3869237899780273, 0.9519534707069397, 5.13142728805542, 1.3637101650238037, 3.446108341217041, 0.0, 3.3438034057617188, 0.0, 0.23089344799518585, 0.0]",1,2.967442035675049,0,2.967442035675049
7,0,benign,0,benign,0.5256295204162598,"[1.2987467050552368, 1.9371814727783203, 1.3785159587860107, 0.0, 0.0, 2.711439847946167, 0.0, 2.956902027130127, 3.458049774169922, 0.9937484860420227, 0.0, 0.4185331165790558, 0.0, 0.6815217733383179, 0.0, 1.3060330152511597, 0.0, 0.9425703287124634, 1.8404215574264526, 0.0, 0.0, 0.0, 1.8061660528182983, 2.1169135570526123, 3.409580945968628, 0.8908319473266602, 0.0, 0.0, 0.0, 1.2705334424972534, 0.0, 1.2427107095718384, 1.6245086193084717, 0.0, 0.0, 0.0, 0.6298068165779114, 0.0, 0.0, 0.0, 0.8305615782737732, 1.6503105163574219, 2.450895309448242, 0.0, 1.565234661102295, 1.335936427116394, 1.1953364610671997, 0.8427361249923706, 2.396373987197876, 0.0, 1.3944475650787354, 1.9148446321487427, 0.0, 0.0, 2.520853281021118, 1.4625405073165894, 0.0, 0.0, 1.1463954448699951, 3.1150684356689453, 0.0, 0.0, 2.236342191696167, 2.95408296585083, 0.0, 0.0, 0.32421767711639404, 1.4460740089416504, 0.0, 0.0, 2.41564679145813, 1.6001311540603638, 1.5282509326934814, 2.6485397815704346, 0.09769991040229797, 1.8190020322799683, 0.9012170433998108, 2.1031250953674316, 0.0, 0.0, 0.0, 2.386713743209839, 1.899997353553772, 0.9668905735015869, 0.0, 1.9553024768829346, 0.02375534176826477, 0.0, 0.0, 0.0, 0.0, 0.12364324182271957, 0.0, 0.3122173845767975, 0.0, 3.037214756011963, 0.0, 1.7147964239120483, 0.9924876689910889, 3.535151720046997, 0.0, 0.7104727029800415, 0.6098704934120178, 2.4338791370391846, 0.0, 1.4994065761566162, 0.0, 0.7191196084022522, 2.5203733444213867, 1.422098159790039, 0.0, 3.0948050022125244, 3.3290159702301025, 0.0, 2.594123363494873, 1.5634253025054932, 1.4117032289505005, 0.4718550145626068, 0.36538591980934143, 0.842901349067688, 2.48516583442688, 0.33027520775794983, 1.6294738054275513, 0.0, 1.1490707397460938, 0.0, 0.08918020129203796, 0.0]",1,9.8369140625,2,6.719282150268555
8,0,benign,0,benign,0.674838125705719,"[1.4594591856002808, 1.9340429306030273, 1.725169062614441, 0.0, 0.0, 3.0478010177612305, 0.0, 3.4117259979248047, 3.619997262954712, 1.7410788536071777, 0.0, 0.550741970539093, 0.0, 1.1115649938583374, 0.0, 1.5147953033447266, 0.0, 0.5992861390113831, 2.525791645050049, 0.0, 0.0, 0.0, 1.4116401672363281, 2.3898284435272217, 4.124932765960693, 0.0, 0.0, 0.0, 0.0, 1.8266563415527344, 0.0, 1.7756563425064087, 2.4755983352661133, 0.0, 0.14404362440109253, 0.0, 0.6352576017379761, 0.0, 0.004780616611242294, 0.0, 1.0395591259002686, 1.9808881282806396, 1.9827030897140503, 0.0, 2.4242424964904785, 1.2858734130859375, 0.6924309134483337, 1.71925950050354, 2.910832643508911, 0.0, 1.3625468015670776, 2.38541841506958, 0.0, 0.0, 2.513200283050537, 2.302443504333496, 0.0, 0.0, 0.847774863243103, 3.3530917167663574, 0.0, 0.0, 3.194122791290283, 2.755549430847168, 0.0, 0.0, 0.0, 0.7703548073768616, 0.0, 0.0, 2.638441801071167, 2.3290443420410156, 1.450128436088562, 2.9370222091674805, 0.1870846152305603, 1.2869971990585327, 0.4654686450958252, 1.5562869310379028, 0.0, 0.0, 0.0, 2.701418876647949, 2.5148298740386963, 0.8562182188034058, 0.0, 1.7430038452148438, 0.08021888881921768, 0.0, 0.0, 0.0, 0.0, 0.16868151724338531, 0.0, 0.0, 0.0, 3.5383338928222656, 0.0, 2.726332902908325, 1.384065866470337, 3.817138910293579, 0.0, 0.9336940050125122, 0.9666973352432251, 2.2531867027282715, 0.0, 1.8972625732421875, 0.0, 0.923271119594574, 2.5549237728118896, 1.5454065799713135, 0.0, 2.9583499431610107, 3.6787915229797363, 0.0, 2.8146040439605713, 1.5018354654312134, 1.5228803157806396, 1.4289642572402954, 0.15489673614501953, 0.34013915061950684, 2.3252406120300293, 0.0, 1.264188289642334, 0.0, 1.5505201816558838, 0.0, 0.5312074422836304, 0.0]",1,9.267163276672363,2,7.697173118591309
9,0,benign,0,benign,0.9988662004470825,"[2.5610859394073486, 1.8103556632995605, 3.5382890701293945, 0.0, 0.0, 2.035897970199585, 0.0, 2.8684234619140625, 2.404918909072876, 1.495983362197876, 0.0, 1.208936095237732, 0.0, 0.0446774959564209, 0.0, 4.012242794036865, 0.0, 0.0, 3.689253091812134, 0.0, 0.0, 0.0, 2.070878028869629, 1.9656976461410522, 1.5341075658798218, 0.7381558418273926, 0.0, 1.679482102394104, 0.0, 2.404873847961426, 0.0, 1.6089444160461426, 1.5420268774032593, 0.1711696833372116, 0.0, 0.0, 0.7388134002685547, 0.6711636781692505, 0.0, 0.0, 0.07687072455883026, 4.302738189697266, 3.3830573558807373, 0.0, 3.9258475303649902, 0.5093336701393127, 0.49518513679504395, 1.516371250152588, 4.222943305969238, 0.0, 0.7044190764427185, 3.6788628101348877, 0.0, 0.0, 2.743884801864624, 4.470094680786133, 0.0, 1.2008658647537231, 0.46119463443756104, 3.2704694271087646, 0.0, 0.0, 2.3858296871185303, 1.8949350118637085, 0.0, 0.0, 1.5394726991653442, 0.41337260603904724, 0.0, 0.0, 3.793954610824585, 0.24946320056915283, 2.069049835205078, 4.848307132720947, 2.5145809650421143, 3.2749857902526855, 0.4296739101409912, 0.23014043271541595, 0.0, 0.0, 0.0, 3.3200032711029053, 4.506753444671631, 1.1501179933547974, 0.0, 0.5369717478752136, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9502429962158203, 0.0, 2.601059675216675, 0.0, 3.9393699169158936, 1.4452780485153198, 0.7790807485580444, 0.0, 1.9445691108703613, 0.517181396484375, 0.5961939096450806, 0.0, 2.0021793842315674, 0.0, 2.777693748474121, 0.6248953938484192, 0.8117179870605469, 0.0, 0.5028238296508789, 3.7258965969085693, 0.0, 1.677307367324829, 0.0, 2.6234707832336426, 0.0, 2.3043289184570312, 0.8848294615745544, 5.341563701629639, 1.5763968229293823, 3.7896523475646973, 0.0, 3.593905210494995, 0.0, 0.36599263548851013, 0.0]",1,3.2538273334503174,0,3.2538273334503174
