PID USER PR NI VIRT RES SHR S %CPU %MEM TIME+ COMMAND
1 root 19 0 25236 14112 0 Ss 0.0 0.0 00:00:07 systemd
2 root 19 0 0 0 0 S 0.0 0.0 00:00:00 kthreadd
3 root 19 0 0 0 0 S 0.0 0.0 00:00:00 pool_workqueue_release
4 root 39 -20 0 0 0 I< 0.0 0.0 00:00:00 kworker/R-rcu_gp
5 root 39 -20 0 0 0 I< 0.0 0.0 00:00:00 kworker/R-sync_wq
6 root 39 -20 0 0 0 I< 0.0 0.0 00:00:00 kworker/R-kvfree_rcu_reclaim
7 root 39 -20 0 0 0 I< 0.0 0.0 00:00:00 kworker/R-slub_flushwq
8 root 39 -20 0 0 0 I< 0.0 0.0 00:00:00 kworker/R-netns
13 root 39 -20 0 0 0 I< 0.0 0.0 00:00:00 kworker/R-mm_percpu_wq
14 root 19 0 0 0 0 S 0.0 0.0 00:00:01 ksoftirqd/0
15 root 19 0 0 0 0 I 0.0 0.0 00:00:30 rcu_preempt
16 root 19 0 0 0 0 S 0.0 0.0 00:00:00 rcu_exp_par_gp_kthread_worker/0
17 root 19 0 0 0 0 S 0.0 0.0 00:00:00 rcu_exp_gp_kthread_worker
18 root 139 - 0 0 0 S 0.0 0.0 00:00:01 migration/0
19 root 90 - 0 0 0 S 0.0 0.0 00:00:00 idle_inject/0
20 root 19 0 0 0 0 S 0.0 0.0 00:00:00 cpuhp/0
21 root 19 0 0 0 0 S 0.0 0.0 00:00:00 cpuhp/1
22 root 90 - 0 0 0 S 0.0 0.0 00:00:00 idle_inject/1
23 root 139 - 0 0 0 S 0.0 0.0 00:00:01 migration/1
24 root 19 0 0 0 0 S 0.0 0.0 00:00:00 ksoftirqd/1
26 root 39 -20 0 0 0 I< 0.0 0.0 00:00:00 kworker/1:0H-events_highpri
27 root 19 0 0 0 0 S 0.0 0.0 00:00:00 cpuhp/2
28 root 90 - 0 0 0 S 0.0 0.0 00:00:00 idle_inject/2
29 root 139 - 0 0 0 S 0.0 0.0 00:00:00 migration/2
30 root 19 0 0 0 0 S 0.0 0.0 00:00:03 ksoftirqd/2
32 root 39 -20 0 0 0 I< 0.0 0.0 00:00:00 kworker/2:0H-events_highpri
33 root 19 0 0 0 0 S 0.0 0.0 00:00:00 cpuhp/3
34 root 90 - 0 0 0 S 0.0 0.0 00:00:00 idle_inject/3
35 root 139 - 0 0 0 S 0.0 0.0 00:00:00 migration/3
36 root 19 0 0 0 0 S 0.0 0.0 00:00:00 ksoftirqd/3
38 root 39 -20 0 0 0 I< 0.0 0.0 00:00:00 kworker/3:0H-events_highpri
39 root 19 0 0 0 0 S 0.0 0.0 00:00:00 cpuhp/4
40 root 90 - 0 0 0 S 0.0 0.0 00:00:00 idle_inject/4
41 root 139 - 0 0 0 S 0.0 0.0 00:00:00 migration/4
42 root 19 0 0 0 0 S 0.0 0.0 00:00:00 ksoftirqd/4
44 root 39 -20 0 0 0 I< 0.0 0.0 00:00:00 kworker/4:0H-events_highpri
45 root 19 0 0 0 0 S 0.0 0.0 00:00:00 cpuhp/5
46 root 90 - 0 0 0 S 0.0 0.0 00:00:00 idle_inject/5
47 root 139 - 0 0 0 S 0.0 0.0 00:00:00 migration/5
48 root 19 0 0 0 0 S 0.0 0.0 00:00:02 ksoftirqd/5
50 root 39 -20 0 0 0 I< 0.0 0.0 00:00:00 kworker/5:0H-kblockd
62 root 19 0 0 0 0 S 0.0 0.0 00:00:00 kdevtmpfs
63 root 39 -20 0 0 0 I< 0.0 0.0 00:00:00 kworker/R-inet_frag_wq
64 root 19 0 0 0 0 I 0.0 0.0 00:00:00 rcu_tasks_kthread
65 root 19 0 0 0 0 I 0.0 0.0 00:00:00 rcu_tasks_rude_kthread
66 root 19 0 0 0 0 I 0.0 0.0 00:00:00 rcu_tasks_trace_kthread
67 root 19 0 0 0 0 S 0.0 0.0 00:00:00 kauditd
68 root 19 0 0 0 0 S 0.0 0.0 00:00:00 khungtaskd
69 root 19 0 0 0 0 S 0.0 0.0 00:00:00 oom_reaper
71 root 39 -20 0 0 0 I< 0.0 0.0 00:00:00 kworker/R-writeback
73 root 19 0 0 0 0 S 0.0 0.0 00:00:07 kcompactd0
74 root 14 5 0 0 0 SN 0.0 0.0 00:00:00 ksmd
75 root 0 19 0 0 0 SN 0.0 0.0 00:00:04 khugepaged
76 root 39 -20 0 0 0 I< 0.0 0.0 00:00:00 kworker/R-kblockd
77 root 39 -20 0 0 0 I< 0.0 0.0 00:00:00 kworker/R-blkcg_punt_bio
78 root 39 -20 0 0 0 I< 0.0 0.0 00:00:00 kworker/R-kintegrityd
79 root 90 - 0 0 0 S 0.0 0.0 00:00:00 irq/9-acpi
82 root 39 -20 0 0 0 I< 0.0 0.0 00:00:00 kworker/R-tpm_dev_wq
83 root 39 -20 0 0 0 I< 0.0 0.0 00:00:00 kworker/R-edac-poller
84 root 39 -20 0 0 0 I< 0.0 0.0 00:00:00 kworker/R-devfreq_wq
87 root 39 -20 0 0 0 I< 0.0 0.0 00:00:00 kworker/4:1H-kblockd
88 root 19 0 0 0 0 S 0.0 0.0 00:00:01 kswapd0
97 root 39 -20 0 0 0 I< 0.0 0.0 00:00:00 kworker/R-kthrotld
99 root 39 -20 0 0 0 I< 0.0 0.0 00:00:00 kworker/R-acpi_thermal_pm
100 root 39 -20 0 0 0 I< 0.0 0.0 00:00:00 kworker/R-mld
102 root 39 -20 0 0 0 I< 0.0 0.0 00:00:00 kworker/R-ipv6_addrconf
103 root 19 0 0 0 0 I 0.0 0.0 00:00:00 kworker/u24:1-ipv6_addrconf
108 root 39 -20 0 0 0 I< 0.0 0.0 00:00:00 kworker/R-kstrp
115 root 39 -20 0 0 0 I< 0.0 0.0 00:00:00 kworker/u31:0
116 root 39 -20 0 0 0 I< 0.0 0.0 00:00:00 kworker/u32:0-ttm
117 root 39 -20 0 0 0 I< 0.0 0.0 00:00:00 kworker/u33:0-ttm
118 root 39 -20 0 0 0 I< 0.0 0.0 00:00:00 kworker/u34:0-ttm
119 root 39 -20 0 0 0 I< 0.0 0.0 00:00:00 kworker/u35:0-ttm
120 root 39 -20 0 0 0 I< 0.0 0.0 00:00:00 kworker/u36:0
121 root 39 -20 0 0 0 I< 0.0 0.0 00:00:00 kworker/u37:0-ttm
193 root 39 -20 0 0 0 I< 0.0 0.0 00:00:00 kworker/1:1H-kblockd
221 root 39 -20 0 0 0 I< 0.0 0.0 00:00:00 kworker/5:1H-kblockd
223 root 39 -20 0 0 0 I< 0.0 0.0 00:00:03 kworker/2:1H-kblockd
260 root 39 -20 0 0 0 I< 0.0 0.0 00:00:00 kworker/0:1H-kblockd
275 root 39 -20 0 0 0 I< 0.0 0.0 00:00:00 kworker/R-ata_sff
280 root 19 0 0 0 0 S 0.0 0.0 00:00:00 scsi_eh_0
281 root 39 -20 0 0 0 I< 0.0 0.0 00:00:00 kworker/R-scsi_tmf_0
284 root 19 0 0 0 0 S 0.0 0.0 00:00:00 scsi_eh_1
287 root 39 -20 0 0 0 I< 0.0 0.0 00:00:00 kworker/R-scsi_tmf_1
294 root 19 0 0 0 0 S 0.0 0.0 00:00:00 scsi_eh_2
295 root 39 -20 0 0 0 I< 0.0 0.0 00:00:00 kworker/R-scsi_tmf_2
297 root 90 - 0 0 0 S 0.0 0.0 00:00:00 irq/18-vmwgfx
298 root 39 -20 0 0 0 I< 0.0 0.0 00:00:00 kworker/R-ttm
303 root 39 -20 0 0 0 I< 0.0 0.0 00:00:00 kworker/0:2H-kblockd
347 root 19 0 0 0 0 S 0.0 0.0 00:00:04 jbd2/sda1-8
348 root 39 -20 0 0 0 I< 0.0 0.0 00:00:00 kworker/R-ext4-rsv-conversion
416 root 19 0 80948 42352 0 Ss 0.0 0.2 00:00:05 systemd-journal
449 root 19 0 37588 10820 0 Ss 0.0 0.0 00:00:01 systemd-udevd
457 root 41 - 0 0 0 S 0.0 0.0 00:00:00 psimon
579 root 19 0 8388 6136 0 Ss 0.0 0.0 00:00:02 haveged
