text,label
METHOD=GET PATH=/Datasets%20Description/Network/ftp.html QUERY= PROTOCOL=HTTP/1.1,benign
METHOD=GET PATH=/Datasets%20Description/Network/ssl.html QUERY= PROTOCOL=HTTP/1.1,benign
METHOD=GET PATH=/ QUERY= PROTOCOL=HTTP/1.1,benign
METHOD=GET PATH=/css/style.css QUERY= PROTOCOL=HTTP/1.1,benign
METHOD=GET PATH=/twitter-icon.png QUERY= PROTOCOL=HTTP/1.1,benign
METHOD=GET PATH=/bootstrap/img/favicon.ico QUERY= PROTOCOL=HTTP/1.1,benign
METHOD=GET PATH=/Datasets%20Description/PE_malware/OPCleaver.html QUERY= PROTOCOL=HTTP/1.1,benign
METHOD=GET PATH=/Datasets%20Description/Network/dns.html QUERY= PROTOCOL=HTTP/1.1,benign
METHOD=GET PATH=/robots.txt QUERY= PROTOCOL=HTTP/1.1,benign
METHOD=GET PATH=/Datasets%20Description/Network/tunnel.html QUERY= PROTOCOL=HTTP/1.1,benign
METHOD=GET PATH=/%C2%A0%C2%A0 QUERY= PROTOCOL=HTTP/1.1,benign
METHOD=GET PATH=/honeypot//%22http://amunhoney.sourceforge.net//%22 QUERY= PROTOCOL=HTTP/1.1,benign
METHOD=GET PATH=/honeypot//%22http://glastopf.org//%22 QUERY= PROTOCOL=HTTP/1.1,benign
METHOD=GET PATH=/honeypot//%22http://www.maxmind.com/%22 QUERY= PROTOCOL=HTTP/1.1,benign
METHOD=GET PATH=/honeypot//%22https://twitter.com/sooshie/%22 QUERY= PROTOCOL=HTTP/1.1,benign
METHOD=GET PATH=/honeypot//%22https://twitter.com/theroxyd/%22 QUERY= PROTOCOL=HTTP/1.1,benign
METHOD=GET PATH=/%C2%A0 QUERY= PROTOCOL=HTTP/1.1,benign
METHOD=GET PATH=/favicon.ico QUERY= PROTOCOL=HTTP/1.1,benign
METHOD=GET PATH=/sitemap.xml QUERY= PROTOCOL=HTTP/1.1,benign
METHOD=GET PATH=/Datasets%20Description/Network/dhcp.html QUERY= PROTOCOL=HTTP/1.1,benign
METHOD=GET PATH=/Datasets%20Description/Network/files.html QUERY= PROTOCOL=HTTP/1.1,benign
METHOD=GET PATH=/Datasets%20Description/Network/smtp.html QUERY= PROTOCOL=HTTP/1.1,benign
METHOD=GET PATH=/Datasets%20Description/PE_malware/Zeus.html QUERY= PROTOCOL=HTTP/1.1,benign
METHOD=GET PATH=/data QUERY= PROTOCOL=HTTP/1.1,benign
METHOD=GET PATH=/honeypot/bsidesdfw%20-%202014.ipynb QUERY= PROTOCOL=HTTP/1.1,benign
METHOD=GET PATH=/apple-touch-icon.png QUERY= PROTOCOL=HTTP/1.1,benign
METHOD=GET PATH=/Datasets%20Description/PE_malware/ QUERY=C=N;O=D PROTOCOL=HTTP/1.1,benign
METHOD=GET PATH=/Datasets%20Description/PE_malware/ QUERY=C=S;O=A PROTOCOL=HTTP/1.1,benign
METHOD=GET PATH=/Datasets%20Description/Network/ QUERY=C=D;O=D PROTOCOL=HTTP/1.1,benign
METHOD=GET PATH=/Datasets%20Description/Network/ QUERY=C=M;O=D PROTOCOL=HTTP/1.1,benign
METHOD=GET PATH=/Datasets%20Description/Network/ QUERY=C=N;O=A PROTOCOL=HTTP/1.1,benign
METHOD=GET PATH=/Datasets%20Description/Network/ QUERY=C=S;O=D PROTOCOL=HTTP/1.1,benign
METHOD=GET PATH=/Datasets%20Description/PE_malware/ QUERY=C=D;O=D PROTOCOL=HTTP/1.1,benign
METHOD=GET PATH=/Datasets%20Description/PE_malware/ QUERY=C=M;O=D PROTOCOL=HTTP/1.1,benign
METHOD=GET PATH=/Datasets%20Description/PE_malware/ QUERY=C=N;O=A PROTOCOL=HTTP/1.1,benign
METHOD=GET PATH=/Datasets%20Description/PE_malware/ QUERY=C=S;O=D PROTOCOL=HTTP/1.1,benign
METHOD=GET PATH=/js/comment.css QUERY= PROTOCOL=HTTP/1.1,benign
METHOD=GET PATH=/ QUERY= PROTOCOL=HTTP/1.0,benign
METHOD=GET PATH=/robots.txt QUERY= PROTOCOL=HTTP/1.0,benign
METHOD=GET PATH=/Datasets%20Description/ QUERY=C=D;O=D PROTOCOL=HTTP/1.1,benign
METHOD=GET PATH=/Datasets%20Description/ QUERY= PROTOCOL=HTTP/1.1,benign
METHOD=GET PATH=/Datasets%20Description/Network/N/A QUERY= PROTOCOL=HTTP/1.1,benign
METHOD=GET PATH=/honeypot/BSidesDFW%20-%202014.ipynb QUERY= PROTOCOL=HTTP/1.1,benign
METHOD=GET PATH=/Datasets QUERY= PROTOCOL=HTTP/1.1,benign
METHOD=GET PATH=/honeypot/Honeypot QUERY= PROTOCOL=HTTP/1.1,benign
METHOD=GET PATH=/honeypot/BSidesDFW QUERY= PROTOCOL=HTTP/1.1,benign
METHOD=GET PATH=/wordpress/ QUERY= PROTOCOL=HTTP/1.1,benign
METHOD=GET PATH=/e/data/js/ajax.js QUERY= PROTOCOL=HTTP/1.1,benign
